,Opawa Barrel,Dembe,Opawa Chrissy,Carlos Jewel,Oberon Bale,Gitan,Opawa Conan,Quintessa Bale
08-12-2022 15:15:56.793384,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 6.355555555555556)"
08-12-2022 15:15:57.879319,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 6.355555555555556)"
08-12-2022 15:15:59.056630,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:00.279592,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:01.423529,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:02.526845,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:03.656939,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:04.875674,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:06.273680,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.725384615384615)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:07.660097,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.725384615384615)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:08.962210,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.725384615384615)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:10.399256,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.725384615384615)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:11.843222,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.05)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:13.235162,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.05)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:14.529880,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.05)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:15.654815,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.05)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:16.879124,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.05)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:18.171197,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
