,Trittrittbangbang,Miss Vung Tau,Our Star Watch Nz,Pontevivo,Lil Happy Fella,Leosabi,Justlike Turbo,Naval Aviator,Whoswhointhezoo,Blue Blazer Nz,Valentines Brook,Wall Street Girl
10-01-2023 20:36:07.442333,"(31.0, 55.0, 51.17647058823529)","(71.0, 150.0, 160.0)","(18.0, 99999, 99990)","(5.5, 6.2, 6.130693069306931)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.761904761904763)","(51.0, 100.0, 76.66666666666667)","(61.0, 130.0, 107.5)","(101.0, 280.0, 224.6153846153846)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8415348837209302)","(14.0, 17.0, 16.77777777777778)"
10-01-2023 20:36:09.757776,"(31.0, 55.0, 49.8)","(71.0, 180.0, 160.0)","(18.0, 99999, 99990)","(5.5, 6.2, 6.130693069306931)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.761904761904763)","(51.0, 100.0, 76.66666666666667)","(61.0, 130.0, 107.5)","(101.0, 280.0, 260.0)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8415348837209302)","(14.0, 17.0, 16.77777777777778)"
10-01-2023 20:36:12.055210,"(31.0, 55.0, 49.8)","(71.0, 180.0, 160.0)","(18.0, 99999, 99990)","(5.5, 6.2, 6.339130434782609)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.725274725274724)","(51.0, 100.0, 76.66666666666667)","(61.0, 130.0, 107.5)","(101.0, 270.0, 260.0)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8415714285714286)","(14.0, 17.0, 16.77777777777778)"
10-01-2023 20:36:13.822052,"(31.0, 55.0, 49.8)","(71.0, 180.0, 160.0)","(18.0, 99999, 99990)","(5.5, 6.4, 6.285714285714286)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.307692307692308)","(51.0, 100.0, 86.0)","(61.0, 130.0, 107.5)","(101.0, 270.0, 251.66666666666666)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8413836477987422)","(14.0, 16.5, 16.075)"
10-01-2023 20:36:15.451454,"(31.0, 55.0, 49.8)","(81.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.5, 6.4, 6.353846153846154)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.323232323232324)","(51.0, 100.0, 104.0)","(61.0, 130.0, 107.5)","(101.0, 270.0, 257.77777777777777)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8413836477987422)","(14.0, 16.5, 16.0625)"
10-01-2023 20:36:17.021207,"(31.0, 55.0, 49.8)","(81.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.5, 6.4, 6.32)","(51.0, 75.0, 66.42857142857143)","(7.0, 11.0, 10.271739130434783)","(51.0, 130.0, 78.57142857142857)","(61.0, 130.0, 107.5)","(101.0, 270.0, 251.66666666666666)","(21.0, 99999, 99990)","(1.55, 1.85, 1.8649758454106282)","(14.0, 16.5, 16.048387096774192)"
10-01-2023 20:36:18.536932,"(31.0, 55.0, 49.8)","(81.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.5, 6.4, 6.281481481481482)","(51.0, 75.0, 65.76923076923077)","(7.0, 11.0, 10.170212765957446)","(51.0, 130.0, 78.57142857142857)","(61.0, 130.0, 107.5)","(101.0, 270.0, 251.66666666666666)","(21.0, 99999, 99990)","(1.6, 1.87, 1.8879545454545454)","(14.0, 16.5, 15.608695652173912)"
10-01-2023 20:36:20.041599,"(31.0, 55.0, 49.8)","(81.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.5, 6.4, 6.2237288135593225)","(51.0, 75.0, 65.76923076923077)","(7.0, 10.5, 10.155555555555555)","(51.0, 130.0, 86.66666666666667)","(61.0, 130.0, 107.5)","(101.0, 270.0, 231.42857142857144)","(21.0, 99999, 99990)","(1.6, 1.89, 1.8878571428571427)","(14.0, 16.0, 15.608695652173912)"
10-01-2023 20:36:21.615400,"(31.0, 55.0, 48.5)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.2237288135593225)","(51.0, 75.0, 65.76923076923077)","(6.5, 10.5, 10.14)","(51.0, 120.0, 76.25)","(61.0, 130.0, 107.5)","(101.0, 260.0, 231.42857142857144)","(21.0, 99999, 99990)","(1.6, 1.89, 1.8813857677902621)","(14.0, 16.0, 15.608695652173912)"
10-01-2023 20:36:23.635301,"(31.0, 55.0, 49.8)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.2, 6.13587786259542)","(51.0, 75.0, 65.76923076923077)","(6.5, 10.5, 10.14)","(51.0, 120.0, 90.0)","(61.0, 130.0, 107.5)","(101.0, 260.0, 216.25)","(21.0, 99999, 99990)","(1.6, 1.89, 1.8813533834586464)","(14.0, 16.0, 15.357142857142858)"
10-01-2023 20:36:25.470544,"(31.0, 55.0, 62.44444444444444)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.2, 6.246540880503145)","(51.0, 75.0, 65.76923076923077)","(6.5, 10.5, 10.14)","(51.0, 110.0, 90.0)","(61.0, 130.0, 107.5)","(101.0, 250.0, 200.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.88, 1.8733673469387755)","(14.0, 16.0, 15.24390243902439)"
10-01-2023 20:36:27.104910,"(31.0, 65.0, 58.0)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.212820512820513)","(51.0, 75.0, 65.76923076923077)","(6.5, 10.5, 9.428571428571429)","(51.0, 110.0, 86.66666666666667)","(61.0, 130.0, 107.5)","(101.0, 250.0, 200.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.88, 1.87375)","(14.0, 16.0, 15.36734693877551)"
10-01-2023 20:36:28.809499,"(31.0, 60.0, 58.61538461538461)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.21219512195122)","(51.0, 75.0, 65.76923076923077)","(6.5, 10.0, 9.244444444444445)","(51.0, 120.0, 95.0)","(61.0, 130.0, 107.5)","(101.0, 250.0, 200.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.88, 1.8807729468599033)","(14.0, 16.0, 15.391304347826086)"
10-01-2023 20:36:30.508955,"(31.0, 60.0, 53.368421052631575)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.212820512820513)","(51.0, 75.0, 65.76923076923077)","(6.5, 9.8, 9.44)","(51.0, 120.0, 95.0)","(61.0, 130.0, 107.5)","(101.0, 250.0, 200.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.91, 1.9065384615384615)","(14.0, 16.0, 15.391304347826086)"
10-01-2023 20:36:32.008838,"(31.0, 60.0, 53.368421052631575)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.4, 5.891666666666667)","(51.0, 75.0, 65.76923076923077)","(6.5, 9.6, 9.186666666666666)","(51.0, 120.0, 101.25)","(61.0, 130.0, 107.5)","(101.0, 250.0, 200.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.91, 1.9482142857142857)","(14.0, 16.0, 15.391304347826086)"
10-01-2023 20:36:33.459014,"(31.0, 60.0, 53.368421052631575)","(71.0, 170.0, 160.0)","(17.0, 99999, 99990)","(5.0, 6.0, 5.876190476190476)","(51.0, 75.0, 65.76923076923077)","(6.5, 9.2, 9.186666666666666)","(51.0, 110.0, 105.55555555555556)","(61.0, 130.0, 107.5)","(101.0, 250.0, 205.0)","(21.0, 99999, 99990)","(1.6, 1.95, 1.9489041095890411)","(14.0, 16.0, 15.391304347826086)"
10-01-2023 20:36:34.942635,"(31.0, 60.0, 49.2)","(71.0, 170.0, 153.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.0, 5.966)","(51.0, 75.0, 67.5)","(6.5, 9.2, 9.338461538461539)","(51.0, 110.0, 106.11111111111111)","(61.0, 130.0, 107.5)","(101.0, 250.0, 209.0909090909091)","(21.0, 99999, 99990)","(1.6, 1.96, 1.8866666666666665)","(14.0, 16.0, 15.391304347826086)"
10-01-2023 20:36:36.414953,"(31.0, 60.0, 55.5)","(71.0, 160.0, 153.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.2, 5.961111111111111)","(51.0, 70.0, 67.5)","(6.5, 9.4, 9.293333333333333)","(51.0, 110.0, 100.45454545454545)","(61.0, 130.0, 107.5)","(101.0, 250.0, 241.8181818181818)","(21.0, 99999, 99990)","(1.6, 1.9, 1.9068181818181817)","(14.0, 16.0, 14.722222222222221)"
