,Roxy Danger,Air Head,Tah Tracey,Good Chat,Buckle Up Lila,Primal Dancer,Lyncar Kath,Law Abiding
10-01-2023 11:58:16.439190,"(3.3, 6.2, 5.814285714285714)","(4.2, 4.8, 4.246153846153846)","(2.8, 3.3, 3.27)","(8.5, 9.8, 9.013559322033899)","(4.8, 9.6, 9.085714285714285)","(26.0, 34.0, 29.846153846153847)","(61.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:17.772428,"(3.3, 6.2, 6.0)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.25)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.694545454545454)","(26.0, 34.0, 29.846153846153847)","(61.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:18.928531,"(3.3, 6.2, 5.9818181818181815)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.25)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.694545454545454)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:20.087091,"(3.3, 6.4, 6.166666666666667)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2642857142857142)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7625)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:21.211581,"(3.3, 6.4, 6.166666666666667)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2583333333333333)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7625)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:22.338940,"(3.3, 6.4, 6.166666666666667)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7625)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 126.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:23.463256,"(3.3, 6.4, 6.166666666666667)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7625)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 121.15384615384616)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:24.645787,"(3.3, 6.4, 6.166666666666667)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7762711864406775)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:26.059707,"(3.3, 6.4, 5.954545454545455)","(4.2, 4.8, 4.26)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.8, 9.013559322033899)","(4.8, 8.0, 7.7762711864406775)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:27.140082,"(3.3, 6.4, 6.108333333333333)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.17142857142857)","(4.8, 8.0, 7.7762711864406775)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:28.291717,"(3.3, 6.4, 6.108333333333333)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.125)","(4.8, 8.0, 7.7762711864406775)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:29.398780,"(3.3, 6.4, 6.108333333333333)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:30.489536,"(3.3, 6.4, 6.108333333333333)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:31.542158,"(3.3, 6.4, 6.108333333333333)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:32.647712,"(3.3, 6.4, 5.954545454545455)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:33.805428,"(3.3, 6.4, 6.155)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:34.945582,"(3.3, 6.4, 6.155)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.792592592592593)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:36.177269,"(3.3, 6.4, 6.155)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.812244897959183)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:37.280432,"(3.3, 6.4, 6.127777777777778)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.2318181818181815)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.812244897959183)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:38.401098,"(3.4, 6.4, 6.127777777777778)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.2605263157894733)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.812244897959183)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 49.0)"
10-01-2023 11:58:39.502927,"(3.4, 6.4, 6.127777777777778)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.2605263157894733)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.812244897959183)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:40.610522,"(3.4, 6.4, 6.023076923076923)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.2605263157894733)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.812244897959183)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:41.721247,"(3.4, 6.4, 6.166666666666667)","(4.2, 4.8, 4.266666666666667)","(2.7, 3.3, 3.2605263157894733)","(8.5, 9.6, 9.161538461538461)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
