,Dennis Choux,Kupido,Lescot,Better Than Banksy,Igotanidea,Sir Bitesalot,Tosen Glory,Irrewarra Gem,One Fornana Rhodes,Lady Merchant,Metsi,Mikki Magic,Eltanin,Greenhill Prince
06-01-2023 13:02:09.237052,"(4.4, 4.7, 4.615384615384615)","(101.0, 250.0, 245.0)","(61.0, 90.0, 87.89473684210526)","(26.0, 36.0, 34.9)","(3.5, 4.0, 3.9710526315789476)","(11.0, 13.5, 13.067901234567902)","(5.0, 5.7, 5.6875)","(91.0, 180.0, 153.75)","(9.0, 12.5, 12.011029411764707)","(51.0, 80.0, 78.48484848484848)","(9.0, 10.5, 10.471698113207546)","(71.0, 100.0, 98.66666666666667)","(101.0, 190.0, 180.0)","(26.0, 36.0, 35.80487804878049)"
06-01-2023 13:02:10.854661,"(4.4, 4.7, 4.615384615384615)","(101.0, 250.0, 245.0)","(61.0, 90.0, 87.89473684210526)","(26.0, 36.0, 34.9)","(3.5, 4.0, 3.9710526315789476)","(11.0, 13.5, 13.067901234567902)","(5.0, 5.7, 5.6875)","(91.0, 180.0, 153.75)","(9.0, 12.5, 12.011029411764707)","(51.0, 80.0, 78.48484848484848)","(9.0, 10.5, 10.471698113207546)","(71.0, 100.0, 98.66666666666667)","(101.0, 190.0, 184.28571428571428)","(26.0, 36.0, 35.77777777777778)"
06-01-2023 13:02:12.474599,"(4.4, 4.7, 4.68)","(101.0, 250.0, 245.0)","(61.0, 90.0, 84.44444444444444)","(26.0, 36.0, 34.97674418604651)","(3.5, 4.1, 4.013903743315508)","(11.0, 13.5, 13.131578947368421)","(5.0, 5.7, 5.6967741935483875)","(91.0, 180.0, 148.1818181818182)","(9.0, 12.0, 11.822695035460994)","(51.0, 80.0, 76.5909090909091)","(9.0, 10.0, 9.783333333333333)","(71.0, 100.0, 98.57142857142857)","(101.0, 190.0, 184.28571428571428)","(21.0, 36.0, 34.8)"
06-01-2023 13:02:14.131702,"(4.4, 4.7, 4.665544041450778)","(101.0, 250.0, 245.3846153846154)","(61.0, 90.0, 84.73684210526315)","(26.0, 36.0, 35.022222222222226)","(3.4, 4.1, 4.034920634920635)","(11.0, 13.5, 12.989795918367347)","(5.0, 5.7, 5.698076923076923)","(91.0, 180.0, 145.0)","(9.0, 12.0, 11.833333333333334)","(51.0, 80.0, 76.66666666666667)","(9.0, 10.0, 9.826666666666666)","(71.0, 100.0, 98.57142857142857)","(101.0, 190.0, 184.54545454545453)","(21.0, 36.0, 34.84615384615385)"
06-01-2023 13:02:15.709475,"(4.4, 4.7, 4.714473684210526)","(101.0, 250.0, 245.3846153846154)","(61.0, 90.0, 84.73684210526315)","(26.0, 36.0, 35.022222222222226)","(3.4, 4.1, 4.0359281437125745)","(11.0, 13.0, 12.981481481481481)","(5.0, 5.7, 5.68)","(91.0, 180.0, 148.1818181818182)","(9.0, 12.0, 11.832214765100671)","(51.0, 80.0, 76.66666666666667)","(9.0, 10.0, 9.820689655172414)","(71.0, 100.0, 98.57142857142857)","(101.0, 190.0, 184.54545454545453)","(26.0, 36.0, 34.84615384615385)"
06-01-2023 13:02:17.312172,"(4.4, 4.8, 4.7846153846153845)","(101.0, 250.0, 245.3846153846154)","(61.0, 90.0, 86.36363636363636)","(26.0, 36.0, 35.1219512195122)","(3.4, 4.1, 4.076623376623377)","(11.0, 13.0, 12.722222222222221)","(5.0, 5.7, 5.514285714285714)","(91.0, 180.0, 148.37209302325581)","(9.0, 12.0, 11.869402985074627)","(51.0, 80.0, 75.66037735849056)","(9.0, 10.0, 9.933333333333334)","(71.0, 100.0, 99.23076923076923)","(101.0, 190.0, 184.54545454545453)","(26.0, 36.0, 34.785714285714285)"
06-01-2023 13:02:19.029662,"(4.4, 4.8, 4.844444444444444)","(101.0, 250.0, 319.2307692307692)","(61.0, 90.0, 88.33333333333333)","(26.0, 36.0, 35.282051282051285)","(3.5, 4.1, 4.098936170212766)","(11.0, 13.0, 12.486842105263158)","(5.0, 5.6, 5.441463414634146)","(81.0, 180.0, 148.57142857142858)","(9.0, 12.0, 11.978632478632479)","(51.0, 80.0, 76.0377358490566)","(9.0, 10.0, 9.711111111111112)","(71.0, 100.0, 102.8)","(101.0, 190.0, 185.71428571428572)","(26.0, 36.0, 35.16129032258065)"
06-01-2023 13:02:20.721497,"(4.4, 4.9, 4.83875)","(101.0, 330.0, 319.2307692307692)","(61.0, 90.0, 88.42105263157895)","(26.0, 36.0, 35.31707317073171)","(3.5, 4.1, 4.098989898989899)","(11.0, 12.5, 12.583333333333334)","(5.0, 5.5, 5.451020408163266)","(81.0, 180.0, 149.30232558139534)","(9.0, 12.0, 12.094202898550725)","(51.0, 80.0, 76.11111111111111)","(9.0, 9.8, 9.688235294117646)","(71.0, 110.0, 103.07692307692308)","(101.0, 190.0, 175.0)","(26.0, 36.0, 35.21212121212121)"
06-01-2023 13:02:22.321613,"(4.4, 4.9, 4.83875)","(101.0, 330.0, 319.2307692307692)","(61.0, 90.0, 88.42105263157895)","(26.0, 36.0, 39.0625)","(3.5, 4.1, 4.061437908496732)","(11.0, 13.0, 12.379310344827585)","(5.0, 5.5, 5.421739130434783)","(81.0, 180.0, 148.0)","(9.0, 12.5, 11.759668508287293)","(51.0, 80.0, 80.76923076923077)","(9.0, 9.8, 9.563829787234043)","(71.0, 110.0, 93.42105263157895)","(101.0, 190.0, 178.46153846153845)","(26.0, 36.0, 34.75)"
06-01-2023 13:02:24.024332,"(4.4, 5.4, 6.754545454545455)","(101.0, 330.0, 295.0)","(61.0, 100.0, 103.33333333333334)","(26.0, 40.0, 62.857142857142854)","(3.5, 4.2, 3.8)","(11.0, 12.5, 13.297297297297298)","(5.0, 5.5, 9.01818181818182)","(81.0, 180.0, 325.0)","(9.0, 12.5, 13.55)","(51.0, 90.0, 108.0)","(9.0, 9.8, 12.818181818181817)","(71.0, 110.0, 143.0)","(101.0, 440.0, 391.42857142857144)","(26.0, 42.0, 40.689655172413794)"
06-01-2023 13:02:25.610442,"(4.4, 7.0, 6.754545454545455)","(101.0, 520.0, 295.0)","(61.0, 230.0, 105.0)","(26.0, 65.0, 46.666666666666664)","(3.5, 4.8, 4.480769230769231)","(11.0, 16.0, 13.297297297297298)","(5.0, 9.4, 7.6000000000000005)","(81.0, 370.0, 256.25)","(9.0, 18.5, 13.55)","(51.0, 170.0, 102.0)","(9.0, 17.0, 10.09090909090909)","(71.0, 240.0, 128.66666666666669)","(101.0, 440.0, 79.16666666666667)","(26.0, 42.0, 40.099999999999994)"
06-01-2023 13:02:27.191978,"(4.4, 7.0, 6.969767441860466)","(101.0, 520.0, 295.0)","(61.0, 170.0, 83.33333333333334)","(26.0, 48.0, 45.45454545454545)","(3.5, 4.7, 4.480769230769231)","(11.0, 16.0, 13.297297297297298)","(5.0, 8.8, 5.325)","(81.0, 350.0, 300.0)","(9.0, 18.5, 16.016666666666666)","(51.0, 130.0, 102.0)","(9.0, 12.0, 10.09090909090909)","(71.0, 170.0, 108.0)","(101.0, 100.0, 257.5)","(26.0, 42.0, 40.099999999999994)"
06-01-2023 13:02:28.815118,"(4.4, 7.0, 6.5)","(101.0, 520.0, 445.0)","(61.0, 170.0, 83.33333333333334)","(26.0, 48.0, 47.14285714285714)","(3.5, 4.7, 3.602439024390244)","(11.0, 16.0, 11.833333333333334)","(5.0, 5.6, 5.325)","(81.0, 340.0, 300.0)","(9.0, 17.5, 16.016666666666666)","(51.0, 130.0, 102.0)","(9.0, 12.0, 10.09090909090909)","(71.0, 170.0, 108.0)","(101.0, 430.0, 163.75)","(26.0, 40.0, 39.39285714285714)"
06-01-2023 13:02:30.422345,"(4.4, 7.0, 6.5)","(101.0, 520.0, 391.42857142857144)","(61.0, 170.0, 76.66666666666666)","(26.0, 48.0, 43.65853658536585)","(3.5, 3.65, 4.15)","(11.0, 16.0, 13.285714285714285)","(5.0, 5.6, 5.325)","(81.0, 340.0, 300.0)","(9.0, 17.5, 16.016666666666666)","(51.0, 130.0, 83.0)","(9.0, 12.0, 10.09090909090909)","(71.0, 170.0, 98.0)","(101.0, 430.0, 242.5)","(26.0, 40.0, 32.75)"
06-01-2023 13:02:32.130797,"(4.4, 7.0, 6.924137931034483)","(101.0, 500.0, 420.0)","(61.0, 150.0, 76.66666666666666)","(26.0, 44.0, 43.65853658536585)","(3.5, 4.7, 4.2)","(11.0, 13.5, 14.709677419354838)","(5.0, 5.6, 5.325)","(81.0, 340.0, 300.0)","(9.0, 17.5, 17.219354838709677)","(51.0, 120.0, 83.0)","(9.0, 12.0, 9.0)","(71.0, 150.0, 98.0)","(101.0, 410.0, 102.91666666666667)","(26.0, 36.0, 32.225806451612904)"
