,Oneloveonelife,Razor Sharp,The Dark Knight,Heritage,Bromac Hype,Sweet Nothings,Bobby Vinton,Sly Tricks,Major Bond,Ask Me Lou,Forty Wives,Blackjack Road,Call Me Sir
14-12-2022 12:18:48.873370,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 21.666666666666664)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:50.564854,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:52.148796,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:53.761807,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:55.359216,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:56.871005,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:18:58.425940,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:00.063095,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:01.639003,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:03.167678,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
