,Tah Hanna,Buckle Up Havana,Ohana Pearl,Barrys Baby,Count Bingley,Tiny Turtle,Combat Mission
10-01-2023 12:21:05.499052,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:06.540819,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:07.627259,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:08.716524,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:09.767295,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:10.760467,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:11.781705,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:12.700777,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:13.726974,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:14.772259,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:15.860868,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:16.909854,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:17.929037,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:18.988918,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
10-01-2023 12:21:20.033425,"(3.2, 5.8, 3.4375)","(4.8, 7.8, 5.228571428571429)","(26.0, 99998, 6667.466666666666)","(10.0, 20.0, 14.3)","(1.9, 2.86, 2.5)","(51.0, 550.0, 298.0)","(11.0, 23.0, 15.7)"
