,Dr Julienne,Green La La,Dr Callie,My Dreamer,Gero Lads,Sweet Lola,Hustle Hustle,Jayville Crew
11-01-2023 18:29:44.369100,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 38.0, 28.4)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:45.808548,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 38.0, 28.4)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:47.194886,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 38.0, 28.4)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:48.596076,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 38.0, 19.076923076923077)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:49.942769,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:51.297099,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:52.641725,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:53.947021,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:55.281585,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:56.647251,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
