,Calculated Risk,Opawa Conan,Centurion,Gitan,Go Hazel,Goldstar Toby,Goldstar Gigi,Dembe
05-01-2023 15:46:05.401585,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:06.500595,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:07.632418,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:08.864726,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:10.030259,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:11.100338,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:12.182967,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:13.299063,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:14.389770,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 12.285714285714285)"
05-01-2023 15:46:15.545386,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
