,Burrum Betty,Comical Rose,Petite Blitzen,Lethal Violet,Top Trip Pam,Shian Ricky,Caesars Corner,Lady Mcbeth
07-12-2022 13:46:02.784560,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:04.035746,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:05.223119,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:06.502902,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:07.805065,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:09.153973,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:10.340889,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:11.386637,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:12.429881,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:13.614006,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:14.761472,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:15.912502,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:17.082695,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:18.182763,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:19.324016,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:20.449975,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:21.698010,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:22.841759,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:23.996980,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
