,Boyd Writer,Bettor Keppel,Don Boston,Im Bruce Almighty,Budding Caesar,Louie The Punter Nz,Alta Equus
11-01-2023 18:52:16.084348,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:17.332401,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:18.573998,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:19.857333,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:21.154013,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:22.413732,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:23.733061,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:24.980909,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:26.232135,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:27.461920,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:28.749543,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:30.022217,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:31.264346,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:32.463771,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:33.576096,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:34.768913,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:36.034972,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:37.333239,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:38.690917,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:40.021466,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:41.248301,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:42.360308,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:43.478892,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:44.714796,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:45.935654,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:47.159037,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:48.343775,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:49.562397,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.266666666666667)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:50.941110,"(5.5, 12.5, 10.357142857142858)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:52.259911,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:53.641396,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:55.152096,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:56.484689,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:57.916647,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:52:59.372753,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:00.874707,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
