,Hillbilly Pickin,Interventionist,Lonely Rock,Rapid Impact,Sir Smitty,Spitfire,Tekapo,Jamrock,Apache Jewel,Kaisa,Lady Goodfellow,Among Us
08-12-2022 14:01:22.472567,"(20.0, 50.0, 41.69230769230769)","(61.0, 120.0, 118.66666666666666)","(91.0, 170.0, 149.0)","(26.0, 32.0, 31.4)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3360975609756096)","(31.0, 44.0, 42.666666666666664)","(7.0, 9.2, 9.153846153846153)","(31.0, 60.0, 57.5)","(19.0, 25.0, 24.53125)","(21.0, 28.0, 27.727272727272727)","(7.5, 11.5, 11.241935483870968)"
08-12-2022 14:01:24.217371,"(20.0, 50.0, 43.57142857142857)","(61.0, 120.0, 118.66666666666666)","(91.0, 170.0, 152.0)","(26.0, 32.0, 30.78787878787879)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.34, 2.3586341463414633)","(31.0, 44.0, 42.857142857142854)","(7.0, 9.2, 9.17391304347826)","(31.0, 60.0, 54.09090909090909)","(19.0, 25.0, 23.05)","(21.0, 28.0, 27.85)","(7.5, 11.5, 11.253846153846155)"
08-12-2022 14:01:25.989907,"(20.0, 50.0, 43.0)","(61.0, 120.0, 118.66666666666666)","(91.0, 160.0, 152.0)","(26.0, 32.0, 30.78787878787879)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3586341463414633)","(31.0, 44.0, 42.857142857142854)","(7.0, 9.2, 9.17391304347826)","(31.0, 65.0, 54.09090909090909)","(19.0, 25.0, 23.666666666666668)","(21.0, 28.0, 27.85)","(7.5, 11.5, 11.246031746031745)"
08-12-2022 14:01:27.717020,"(20.0, 48.0, 43.0)","(61.0, 120.0, 116.0)","(91.0, 160.0, 150.0)","(26.0, 32.0, 30.444444444444443)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3586341463414633)","(31.0, 44.0, 43.75)","(7.0, 9.2, 9.17391304347826)","(31.0, 65.0, 55.19230769230769)","(19.0, 25.0, 23.666666666666668)","(21.0, 28.0, 27.85)","(7.5, 11.5, 11.015151515151516)"
08-12-2022 14:01:29.458384,"(20.0, 48.0, 43.0)","(61.0, 120.0, 116.0)","(91.0, 160.0, 150.0)","(26.0, 32.0, 30.444444444444443)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3586341463414633)","(31.0, 46.0, 43.75)","(7.0, 9.2, 9.17391304347826)","(31.0, 65.0, 55.19230769230769)","(19.0, 25.0, 23.666666666666668)","(21.0, 28.0, 27.85)","(7.5, 11.5, 11.015151515151516)"
08-12-2022 14:01:31.251698,"(20.0, 48.0, 43.0)","(61.0, 120.0, 116.0)","(91.0, 160.0, 150.0)","(26.0, 32.0, 30.444444444444443)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3586341463414633)","(31.0, 46.0, 43.75)","(7.0, 9.2, 9.17391304347826)","(31.0, 65.0, 55.19230769230769)","(19.0, 25.0, 23.76923076923077)","(21.0, 28.0, 27.842105263157894)","(7.5, 11.5, 10.80952380952381)"
08-12-2022 14:01:33.059661,"(20.0, 48.0, 41.0)","(61.0, 120.0, 116.0)","(91.0, 160.0, 150.0)","(26.0, 32.0, 30.444444444444443)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.358744394618834)","(31.0, 46.0, 44.4)","(7.0, 9.2, 9.181818181818182)","(31.0, 65.0, 55.19230769230769)","(19.0, 25.0, 23.76923076923077)","(21.0, 28.0, 27.785714285714285)","(7.5, 11.0, 10.80952380952381)"
08-12-2022 14:01:34.817210,"(20.0, 48.0, 38.666666666666664)","(61.0, 120.0, 116.0)","(91.0, 160.0, 150.0)","(26.0, 32.0, 30.444444444444443)","(5.5, 5.7, 5.654054054054054)","(2.1, 2.36, 2.3586602870813396)","(31.0, 46.0, 44.4)","(7.0, 9.2, 9.166666666666666)","(31.0, 65.0, 55.19230769230769)","(19.0, 25.0, 23.76923076923077)","(21.0, 28.0, 27.4)","(7.5, 11.0, 10.80952380952381)"
08-12-2022 14:01:36.544247,"(20.0, 48.0, 38.666666666666664)","(61.0, 120.0, 113.33333333333333)","(91.0, 160.0, 150.0)","(26.0, 32.0, 28.444444444444443)","(5.5, 5.7, 5.6386885245901635)","(2.1, 2.36, 2.3584251968503938)","(31.0, 46.0, 40.857142857142854)","(7.0, 9.2, 9.657142857142857)","(31.0, 65.0, 51.578947368421055)","(19.0, 25.0, 23.833333333333332)","(21.0, 28.0, 27.714285714285715)","(7.5, 11.0, 11.02)"
08-12-2022 14:01:38.236965,"(20.0, 48.0, 38.666666666666664)","(61.0, 170.0, 113.33333333333333)","(91.0, 160.0, 150.0)","(26.0, 30.0, 28.22222222222222)","(5.5, 5.7, 5.647025495750708)","(2.1, 2.36, 2.356814159292035)","(31.0, 42.0, 41.111111111111114)","(7.0, 10.0, 9.930434782608696)","(31.0, 65.0, 52.434782608695656)","(18.0, 25.0, 24.363636363636363)","(21.0, 28.0, 27.757575757575758)","(7.5, 11.5, 11.02)"
