,Blue Scotch Boy,Juke Box Blues,Graceland Boy,Sore Loser,Lachlans Miss,Mepunga Roz,Brutal Power
11-01-2023 11:06:46.624282,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 470.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:47.714901,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:48.793917,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:49.834357,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:50.844061,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 570.0, 140.83333333333331)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:51.809740,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:52.780176,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:53.781994,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:54.930167,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:56.013642,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:57.227025,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:58.302202,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:06:59.372143,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:00.541139,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:01.604951,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 307.5)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:02.597971,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:03.557592,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:04.543766,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:05.616102,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:06.597492,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:07.649641,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:08.637034,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:09.780698,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:10.844981,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:11.837003,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:12.879483,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:13.994323,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:15.046692,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:16.139468,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:17.233568,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:18.335651,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 570.0, 546.5909090909091)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:19.476310,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:20.661176,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:21.761433,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:22.829219,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:23.848677,"(4.6, 8.4, 7.466666666666667)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 570.0, 470.96153846153845)","(7.0, 12.5, 10.95)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.45)"
11-01-2023 11:07:24.867471,"(4.6, 8.4, 7.466666666666667)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 537.0454545454545)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:25.813376,"(4.6, 8.4, 7.466666666666667)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:26.831319,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:27.793270,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:28.862977,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:29.944387,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:30.991974,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:32.079040,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
11-01-2023 11:07:33.199064,"(4.6, 8.4, 6.24)","(2.8, 4.7, 3.0058823529411764)","(6.5, 19.5, 10.75)","(71.0, 560.0, 312.5)","(7.0, 12.5, 11.675)","(8.0, 17.5, 12.5)","(3.1, 5.2, 3.644444444444445)"
