,Le Heros,Hail To The Chief,Du Maurier,Valley Of Dreams,Torbreck
07-12-2022 13:59:48.950415,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:49.950798,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:50.894783,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:51.855609,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9299999999999997)","(5.5, 6.4, 6.109090909090909)"
07-12-2022 13:59:52.981090,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9299999999999997)","(5.5, 6.4, 6.109090909090909)"
07-12-2022 13:59:54.013148,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9299999999999997)","(5.5, 6.4, 6.0717948717948715)"
07-12-2022 13:59:54.850939,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9299999999999997)","(5.5, 6.4, 6.0717948717948715)"
07-12-2022 13:59:55.721762,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9299999999999997)","(5.5, 6.2, 6.0636363636363635)"
07-12-2022 13:59:56.684903,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.890625)","(5.5, 6.2, 6.003448275862069)"
07-12-2022 13:59:57.630340,"(3.2, 3.65, 3.6315384615384616)","(5.5, 9.6, 9.16)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.9, 2.897878787878788)","(5.5, 6.2, 6.0285714285714285)"
07-12-2022 13:59:58.560925,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.897878787878788)","(5.5, 6.2, 6.0285714285714285)"
07-12-2022 13:59:59.635825,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.897878787878788)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:00.581363,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9038356164383563)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:01.632517,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9038356164383563)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:02.686810,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9038356164383563)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:03.621573,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9038356164383563)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:04.492615,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9038356164383563)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:05.543316,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.9317391304347824)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:06.638747,"(3.2, 3.65, 3.632089552238806)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.714285714285715)","(2.5, 2.96, 2.9433333333333334)","(5.5, 6.2, 6.0)"
07-12-2022 14:00:07.605312,"(3.2, 3.65, 3.6306451612903223)","(5.5, 9.6, 9.4)","(7.0, 9.8, 9.714285714285715)","(2.5, 2.96, 2.88)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:08.537475,"(3.2, 3.65, 3.6306451612903223)","(5.5, 9.6, 9.266666666666666)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.88)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:09.518350,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.898095238095238)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:10.473367,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.55)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.96, 2.8866666666666667)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:11.405843,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.55)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:12.243610,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.953846153846154)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:13.124501,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.953846153846154)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:14.115039,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.953846153846154)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 5.939130434782609)"
07-12-2022 14:00:15.040484,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.953846153846154)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.080597014925373)"
07-12-2022 14:00:15.903184,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.823529411764707)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.080597014925373)"
07-12-2022 14:00:16.869703,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.584615384615384)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.080597014925373)"
07-12-2022 14:00:17.918678,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.823529411764707)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 5.9879999999999995)"
07-12-2022 14:00:19.064237,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.905263157894737)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.0, 5.9879999999999995)"
07-12-2022 14:00:19.887838,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.905263157894737)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.0, 5.9879999999999995)"
07-12-2022 14:00:20.917860,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 9.26153846153846)","(7.0, 9.8, 9.581818181818182)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.080597014925373)"
07-12-2022 14:00:21.999823,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.823529411764707)","(7.0, 9.8, 9.581818181818182)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:22.991817,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.581818181818182)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:23.870452,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:24.939216,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:26.047635,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:27.044060,"(3.2, 3.65, 3.5723214285714286)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:27.892495,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:28.884651,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:29.959804,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:30.923087,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:31.834055,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.876)","(5.5, 6.2, 6.049056603773585)"
07-12-2022 14:00:32.816977,"(3.2, 3.65, 3.5887323943661973)","(5.5, 9.6, 8.94)","(7.0, 9.8, 9.5)","(2.5, 2.94, 2.908)","(5.5, 6.2, 6.086956521739131)"
07-12-2022 14:00:33.800190,"(3.2, 3.65, 3.561363636363636)","(5.5, 9.6, 8.963636363636363)","(7.0, 9.8, 8.733333333333333)","(2.5, 2.96, 2.908)","(5.5, 6.2, 6.086956521739131)"
07-12-2022 14:00:34.840352,"(3.2, 3.65, 3.561363636363636)","(5.5, 9.6, 8.963636363636363)","(7.0, 9.8, 8.733333333333333)","(2.5, 2.96, 2.908)","(5.5, 6.2, 6.1069767441860465)"
07-12-2022 14:00:35.828283,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.672727272727274)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.925714285714285)"
07-12-2022 14:00:36.666999,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.672727272727274)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.925714285714285)"
07-12-2022 14:00:37.712678,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.6)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.890322580645162)"
07-12-2022 14:00:38.836391,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.6)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.890322580645162)"
07-12-2022 14:00:39.739693,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.890322580645162)"
07-12-2022 14:00:40.683783,"(3.2, 3.65, 3.5759999999999996)","(5.5, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.5, 6.2, 5.890322580645162)"
07-12-2022 14:00:41.699667,"(3.2, 3.65, 3.5759999999999996)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:42.800638,"(3.2, 3.65, 3.5759999999999996)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:43.769189,"(3.2, 3.65, 3.5759999999999996)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:44.708971,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:45.863941,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.5)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:47.053555,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.4, 8.435294117647057)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:48.132089,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.435294117647057)","(2.5, 2.96, 2.9288)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:49.253526,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.390476190476189)","(2.5, 2.96, 2.9327272727272726)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:50.365255,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.390476190476189)","(2.5, 2.96, 2.9327272727272726)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:51.476793,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.390476190476189)","(2.5, 2.96, 2.9327272727272726)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:52.608543,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.390476190476189)","(2.5, 2.96, 2.9327272727272726)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:53.583473,"(3.2, 3.65, 3.6102150537634405)","(6.0, 9.6, 9.36)","(7.0, 9.2, 8.390476190476189)","(2.5, 2.96, 2.9)","(5.0, 6.2, 5.96)"
07-12-2022 14:00:54.638643,"(3.2, 3.65, 3.6140776699029127)","(6.0, 9.6, 9.507692307692308)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.9, 2.9145454545454546)","(5.0, 6.2, 5.890322580645162)"
07-12-2022 14:00:55.706002,"(3.2, 3.65, 3.645833333333333)","(6.0, 10.0, 9.636363636363637)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 6.2, 5.7625)"
07-12-2022 14:00:56.823990,"(3.2, 3.75, 3.7)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 6.2, 5.7)"
07-12-2022 14:00:57.883868,"(3.2, 3.75, 3.7199999999999998)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 5.8, 5.725)"
07-12-2022 14:00:59.072481,"(3.2, 3.8, 3.6598130841121495)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 5.8, 5.725)"
07-12-2022 14:01:00.072027,"(3.2, 3.8, 3.6598130841121495)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 5.8, 5.725)"
07-12-2022 14:01:01.312069,"(3.2, 3.8, 3.6598130841121495)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.933333333333333)","(5.0, 5.8, 5.725)"
07-12-2022 14:01:02.324706,"(3.2, 3.8, 3.6598130841121495)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.9518918918918917)","(5.0, 5.8, 5.76)"
07-12-2022 14:01:03.289117,"(3.2, 3.8, 3.661111111111111)","(6.0, 10.0, 9.866666666666667)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.9518918918918917)","(5.0, 5.8, 5.76)"
07-12-2022 14:01:04.317491,"(3.2, 3.8, 3.661111111111111)","(6.0, 10.0, 9.636363636363637)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.745454545454545)"
07-12-2022 14:01:05.389912,"(3.2, 3.8, 3.661111111111111)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.745454545454545)"
07-12-2022 14:01:06.376769,"(3.2, 3.8, 3.661111111111111)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.459259259259259)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.745454545454545)"
07-12-2022 14:01:07.369294,"(3.2, 3.8, 3.652941176470588)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.745454545454545)"
07-12-2022 14:01:08.286299,"(3.2, 3.8, 3.627586206896552)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.74)"
07-12-2022 14:01:09.252584,"(3.2, 3.8, 3.619277108433735)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.74)"
07-12-2022 14:01:10.296629,"(3.2, 3.8, 3.6203592814371257)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.74)"
07-12-2022 14:01:11.257153,"(3.2, 3.8, 3.6203592814371257)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.74)"
07-12-2022 14:01:12.135432,"(3.2, 3.8, 3.6203592814371257)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.74)"
07-12-2022 14:01:13.110317,"(3.2, 3.8, 3.6203592814371257)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9171428571428573)","(5.0, 5.8, 5.84)"
07-12-2022 14:01:14.120051,"(3.2, 3.8, 3.619277108433735)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 5.847058823529411)"
07-12-2022 14:01:15.095097,"(3.2, 3.8, 3.619277108433735)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 6.033333333333333)"
07-12-2022 14:01:15.984605,"(3.2, 3.75, 3.7043478260869565)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 6.033333333333333)"
07-12-2022 14:01:17.032144,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 6.033333333333333)"
07-12-2022 14:01:18.089364,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:19.020950,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.936470588235294)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:19.935278,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:20.929237,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:21.926012,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:22.891823,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:23.856961,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:24.775369,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9318918918918917)","(5.0, 6.2, 6.070967741935484)"
07-12-2022 14:01:25.623157,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9257142857142857)","(5.0, 6.2, 6.046153846153846)"
07-12-2022 14:01:26.542914,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9189473684210525)","(5.0, 6.2, 6.046153846153846)"
07-12-2022 14:01:27.516835,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9189473684210525)","(5.0, 6.2, 6.046153846153846)"
07-12-2022 14:01:28.488167,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9189473684210525)","(5.0, 6.2, 6.046153846153846)"
07-12-2022 14:01:29.457118,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9189473684210525)","(5.0, 6.2, 6.046153846153846)"
07-12-2022 14:01:30.404424,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.733333333333333)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9189473684210525)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:31.341895,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:32.308306,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:33.225768,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:34.250589,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:35.243290,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:36.123380,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666666)"
07-12-2022 14:01:36.958440,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.866666666666667)"
07-12-2022 14:01:37.869068,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.817647058823529)"
07-12-2022 14:01:38.893089,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.817647058823529)"
07-12-2022 14:01:39.846972,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.817647058823529)"
07-12-2022 14:01:40.715426,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.891578947368421)","(5.0, 6.2, 5.817647058823529)"
07-12-2022 14:01:41.668219,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.2, 5.71875)"
07-12-2022 14:01:42.598551,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
07-12-2022 14:01:43.525302,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
07-12-2022 14:01:44.488245,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
07-12-2022 14:01:45.346904,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
07-12-2022 14:01:46.305638,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
07-12-2022 14:01:47.251628,"(3.2, 3.75, 3.6923076923076925)","(6.0, 10.0, 9.222222222222221)","(7.0, 9.2, 8.433333333333332)","(2.5, 2.96, 2.9476543209876542)","(5.0, 6.0, 5.637735849056604)"
