,Le Heros,Hail To The Chief,Du Maurier,Valley Of Dreams,Torbreck
07-12-2022 13:58:33.436776,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 8.755555555555556)","(7.0, 10.0, 9.5)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:34.428202,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:35.281653,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:36.141518,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:37.089793,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:38.055611,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.9145454545454546)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:38.913817,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.94, 2.893333333333333)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:39.824665,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:40.699634,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:41.570485,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:42.404982,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:43.254561,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:44.112693,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:44.948754,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:45.769061,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:46.684045,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.285714285714286)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:47.537364,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.896)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:48.381543,"(3.1, 3.6, 3.5673913043478263)","(6.0, 10.0, 9.138461538461538)","(7.0, 10.0, 9.5)","(2.45, 2.92, 2.905)","(5.5, 6.6, 6.264516129032258)"
07-12-2022 13:58:49.340357,"(3.1, 3.6, 3.5475000000000003)","(6.0, 10.0, 9.341176470588236)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.33939393939394)"
