,Trixie Kade,Bogan Valley,Hillys Howler,Hestons Mate,Betty Birdcage
10-01-2023 12:52:26.741812,"(1.6, 1.64, 1.6362303664921465)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:27.683396,"(1.6, 1.64, 1.6355279503105589)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:28.595228,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:29.566050,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:30.587981,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:31.554045,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:32.502806,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:33.360014,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:34.209076,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:35.085570,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:35.962889,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:36.812592,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.2, 5.78)"
10-01-2023 12:52:37.634068,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.6, 4.534782608695652)"
10-01-2023 12:52:38.537368,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:39.459824,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:40.334199,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:41.152396,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:41.980596,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:42.944246,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:43.854551,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:44.743225,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.46666666666667)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
