,Loved By You,Happy Hopetoun,Inside Out,Cruising Cloe,Donnington Girl,Miss Frozen
16-12-2022 15:27:13.126300,"(5.0, 10.0, 8.692307692307692)","(17.0, 50.0, 19.85)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.4, 1.327843137254902)"
16-12-2022 15:27:14.069278,"(5.0, 10.0, 9.464285714285714)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3842857142857141)"
16-12-2022 15:27:15.061784,"(5.0, 10.0, 9.464285714285714)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3839784946236557)"
16-12-2022 15:27:16.132894,"(5.0, 10.0, 9.464285714285714)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.359375)"
16-12-2022 15:27:17.106491,"(5.0, 10.0, 8.6)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.359375)"
16-12-2022 15:27:18.014923,"(5.0, 10.0, 8.6)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.359375)"
16-12-2022 15:27:19.025663,"(5.0, 10.0, 8.6)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.359375)"
16-12-2022 15:27:19.947996,"(5.0, 10.0, 8.6)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.359375)"
16-12-2022 15:27:20.840206,"(5.0, 9.8, 7.571428571428572)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3576923076923078)"
16-12-2022 15:27:21.834208,"(5.0, 9.8, 8.600000000000001)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:22.780087,"(5.0, 9.8, 8.600000000000001)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:23.763056,"(5.0, 9.6, 8.5)","(17.0, 50.0, 28.785714285714285)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.433333333333334)","(1.26, 1.39, 1.3619999999999999)"
16-12-2022 15:27:24.846936,"(5.0, 9.6, 7.714285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.5, 10.0)","(1.26, 1.39, 1.3619999999999999)"
16-12-2022 15:27:25.777828,"(5.0, 9.6, 7.714285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:26.720083,"(5.0, 9.8, 9.433333333333334)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:27.764693,"(5.0, 11.0, 8.40952380952381)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:28.761841,"(5.0, 11.0, 8.561904761904762)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3666666666666667)"
16-12-2022 15:27:29.711648,"(5.0, 11.0, 8.561904761904762)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3666666666666667)"
16-12-2022 15:27:30.680056,"(5.0, 11.0, 8.561904761904762)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:31.583770,"(5.0, 10.5, 9.027272727272727)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:32.491795,"(5.0, 10.5, 9.027272727272727)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:33.464203,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3608333333333333)"
16-12-2022 15:27:34.415520,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3666666666666667)"
16-12-2022 15:27:35.360172,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 14.0, 10.0)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:36.342584,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:37.265004,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:38.130564,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:39.113491,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 27.153846153846153)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:40.002658,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 32.529411764705884)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.08)","(1.26, 1.39, 1.3471428571428572)"
16-12-2022 15:27:40.971867,"(5.0, 10.5, 8.014285714285714)","(17.0, 50.0, 33.5)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3354545454545454)"
16-12-2022 15:27:41.966270,"(5.0, 11.0, 7.883333333333333)","(17.0, 50.0, 33.5)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:42.853325,"(5.0, 11.0, 8.45)","(17.0, 50.0, 33.5)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:43.793504,"(5.0, 11.0, 8.45)","(17.0, 50.0, 33.5)","(31.0, 390.0, 78.6)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.39, 1.3566666666666667)"
16-12-2022 15:27:44.723812,"(5.0, 11.0, 8.45)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.38, 1.3525)"
16-12-2022 15:27:45.665776,"(5.0, 11.0, 9.933333333333334)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.38, 1.345625)"
16-12-2022 15:27:46.586784,"(5.0, 11.0, 9.714285714285714)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.857142857142858)","(1.26, 1.38, 1.3525)"
16-12-2022 15:27:47.571156,"(5.0, 11.0, 10.066666666666666)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.38, 1.3525)"
16-12-2022 15:27:48.467593,"(5.0, 11.0, 10.353846153846154)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.38, 1.3525)"
16-12-2022 15:27:49.392753,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.38, 1.3525)"
16-12-2022 15:27:50.300331,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 9.42)","(1.26, 1.38, 1.3433333333333333)"
16-12-2022 15:27:51.171077,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 10.440000000000001)","(1.26, 1.38, 1.3685714285714285)"
16-12-2022 15:27:52.124494,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.5, 10.440000000000001)","(1.26, 1.38, 1.3685714285714285)"
16-12-2022 15:27:53.173758,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.0, 10.4)","(1.26, 1.38, 1.3566666666666667)"
16-12-2022 15:27:54.189964,"(5.0, 10.5, 9.6375)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.0, 9.266666666666667)","(1.26, 1.38, 1.3566666666666667)"
16-12-2022 15:27:55.080662,"(5.0, 13.0, 12.563636363636363)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.0, 9.266666666666667)","(1.26, 1.38, 1.3481818181818181)"
16-12-2022 15:27:56.028068,"(5.0, 13.0, 10.444444444444445)","(17.0, 50.0, 33.5)","(31.0, 390.0, 76.8)","(17.0, 70.0, 59.8)","(7.5, 13.0, 9.266666666666667)","(1.26, 1.38, 1.3481818181818181)"
