,Gutho,Sleepdance,Helens Dream,Johnny Deep,Chilli Moment,Golden Groove,My Moses,Invaness,Angama
05-01-2023 12:23:01.931829,"(31.0, 75.0, 66.71428571428572)","(11.0, 15.0, 17.642857142857142)","(8.5, 9.8, 8.7)","(6.0, 9.4, 8.799999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.58, 2.5528125)","(11.0, 14.5, 12.3125)","(7.0, 7.6, 7.254545454545454)","(41.0, 210.0, 132.5)"
05-01-2023 12:23:03.316088,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.642857142857142)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.58, 2.5528125)","(11.0, 14.5, 12.3125)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:04.525118,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.58, 2.5528125)","(11.0, 14.5, 12.3125)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:05.746558,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.58, 2.56375)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:06.952019,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.56375)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:08.122063,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.56375)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:09.210332,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:10.308810,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.7)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:11.439057,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.7)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:12.579245,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.7)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
