,Hut Six,Spot Of Rum,Fleet Feet Pete,Charming Spirit,Recalibrate
12-01-2023 15:09:44.161050,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:45.132116,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:46.034978,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:46.966821,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:47.926771,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:48.768477,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:49.774775,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:50.844538,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:51.812342,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:52.727637,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:53.715362,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
