,Black Tuxedo,Spring Casper,Lady Dior,Rico Eclipse,Balbina Bale,Pierre Bale
04-01-2023 13:03:46.464773,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:47.462569,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:48.540313,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:49.579355,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:50.638868,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:51.615235,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:52.523678,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:53.475899,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:54.498974,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:55.495570,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:56.542324,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:57.502438,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:58.558305,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:03:59.546867,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:00.477880,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:01.406468,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:02.507351,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:03.524506,"(14.0, 32.0, 20.125)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:04.502413,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:05.470775,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:06.464086,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:07.449327,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:08.450272,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:09.398164,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:10.301856,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 3.4714285714285715)"
04-01-2023 13:04:11.273939,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:12.282430,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:13.236496,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:14.201139,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:15.198774,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:16.255160,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:17.275521,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:18.206862,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:19.161391,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:20.136744,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:21.182079,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 7.97037037037037)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:22.219003,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 9.6, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:23.117356,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:24.117175,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:25.091495,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:26.083651,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:27.021646,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:27.968159,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:29.026454,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:30.002869,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:30.956195,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:31.972131,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:32.993800,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:34.058139,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:35.177740,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:36.290607,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 22.909090909090907)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:37.458461,"(14.0, 32.0, 19.5)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:38.505666,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:39.448524,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:40.427872,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:41.393280,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:42.333252,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:43.314155,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.243084577114428)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:44.359722,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:45.382131,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:46.383609,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
