,Peak Contributer,Battle Award,Bin Chicken,Coudreau,Hello Carol,Howling Victory,Lambeau Leap,Little Complicated,Sherman,Trianon
08-01-2023 13:10:56.971238,"(4.2, 5.2, 4.890000000000001)","(21.0, 32.0, 30.816326530612244)","(71.0, 95.0, 97.27272727272727)","(6.0, 7.8, 7.802150537634408)","(14.0, 18.5, 18.72685185185185)","(1.95, 2.2, 2.167924528301887)","(101.0, 340.0, 276.0)","(101.0, 350.0, 343.4782608695652)","(71.0, 95.0, 95.41666666666667)","(8.0, 10.5, 10.098039215686274)"
08-01-2023 13:10:58.191667,"(4.2, 4.9, 4.890000000000001)","(21.0, 34.0, 30.90909090909091)","(71.0, 100.0, 97.6)","(6.0, 8.0, 7.880519480519481)","(14.0, 19.0, 18.802013422818792)","(1.95, 2.18, 2.151764705882353)","(101.0, 340.0, 332.0)","(101.0, 350.0, 344.0)","(71.0, 100.0, 97.10526315789474)","(8.0, 10.5, 10.27094972067039)"
08-01-2023 13:10:59.436375,"(4.2, 5.0, 4.956521739130435)","(21.0, 34.0, 32.847457627118644)","(71.0, 100.0, 97.6)","(6.0, 8.0, 7.7856353591160214)","(14.0, 19.0, 17.64)","(1.95, 2.16, 2.154487951807229)","(101.0, 340.0, 334.0)","(101.0, 350.0, 344.0)","(71.0, 100.0, 97.10526315789474)","(8.0, 10.5, 10.205128205128204)"
08-01-2023 13:11:00.658000,"(4.2, 5.0, 4.985185185185185)","(21.0, 34.0, 32.892857142857146)","(71.0, 100.0, 98.63636363636364)","(6.0, 7.8, 7.7856353591160214)","(14.0, 18.0, 17.64)","(1.95, 2.16, 2.154487951807229)","(101.0, 340.0, 334.0)","(101.0, 350.0, 344.0)","(71.0, 100.0, 97.10526315789474)","(8.0, 10.5, 10.205128205128204)"
08-01-2023 13:11:01.911747,"(4.2, 5.1, 5.018439716312057)","(21.0, 34.0, 33.01587301587301)","(71.0, 95.0, 93.80952380952381)","(6.0, 8.0, 7.8533333333333335)","(14.0, 18.0, 17.602941176470587)","(1.95, 2.18, 2.1767816091954026)","(101.0, 340.0, 334.0)","(101.0, 350.0, 344.2307692307692)","(71.0, 100.0, 96.76470588235294)","(8.0, 10.5, 10.139175257731958)"
08-01-2023 13:11:03.247631,"(4.2, 5.1, 5.017857142857142)","(21.0, 34.0, 33.06060606060606)","(71.0, 95.0, 93.47826086956522)","(6.0, 8.0, 7.884848484848485)","(14.0, 18.0, 17.602941176470587)","(1.95, 2.18, 2.177179487179487)","(101.0, 340.0, 334.0)","(101.0, 350.0, 345.3125)","(71.0, 100.0, 95.41666666666667)","(8.0, 10.5, 10.06637168141593)"
08-01-2023 13:11:04.593321,"(4.2, 5.1, 5.012878787878788)","(21.0, 34.0, 33.06060606060606)","(71.0, 95.0, 93.54166666666667)","(6.0, 8.0, 7.884848484848485)","(14.0, 18.0, 17.602941176470587)","(1.95, 2.18, 2.178)","(101.0, 340.0, 334.0)","(101.0, 350.0, 345.3125)","(71.0, 100.0, 95.41666666666667)","(8.0, 10.5, 10.06637168141593)"
08-01-2023 13:11:05.910205,"(4.2, 5.1, 5.028)","(21.0, 34.0, 32.93103448275862)","(71.0, 95.0, 92.66666666666667)","(6.0, 8.0, 7.8218749999999995)","(14.0, 18.0, 17.526315789473685)","(1.95, 2.18, 2.178802177858439)","(101.0, 340.0, 335.7142857142857)","(101.0, 350.0, 345.3125)","(71.0, 100.0, 94.11764705882354)","(8.0, 10.5, 10.210526315789474)"
08-01-2023 13:11:07.202686,"(4.2, 5.2, 5.097297297297297)","(21.0, 34.0, 32.93103448275862)","(71.0, 95.0, 92.66666666666667)","(6.0, 8.0, 7.8218749999999995)","(13.0, 18.0, 17.597014925373134)","(1.95, 2.18, 2.165004775549188)","(101.0, 340.0, 340.90909090909093)","(101.0, 350.0, 345.0)","(71.0, 100.0, 94.73684210526315)","(8.0, 10.5, 10.28)"
08-01-2023 13:11:08.471379,"(4.2, 5.2, 5.163013698630137)","(21.0, 34.0, 32.892857142857146)","(71.0, 95.0, 92.94117647058823)","(6.0, 8.0, 7.8575)","(13.0, 18.0, 17.597014925373134)","(1.95, 2.2, 2.139286987522282)","(101.0, 360.0, 340.90909090909093)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 10.5, 10.398373983739837)"
08-01-2023 13:11:09.704434,"(4.2, 5.3, 5.196153846153846)","(21.0, 34.0, 33.30612244897959)","(71.0, 95.0, 93.4090909090909)","(6.0, 8.0, 7.8575)","(13.0, 18.0, 17.597014925373134)","(1.95, 2.14, 2.139286987522282)","(101.0, 360.0, 340.90909090909093)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 11.0, 10.2375)"
08-01-2023 13:11:10.903030,"(4.2, 5.3, 5.2555555555555555)","(21.0, 34.0, 33.291666666666664)","(71.0, 95.0, 93.4090909090909)","(6.0, 8.0, 7.847422680412371)","(13.0, 18.0, 17.228571428571428)","(1.95, 2.16, 2.180625782227785)","(101.0, 360.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 10.5, 10.195652173913043)"
08-01-2023 13:11:12.093543,"(4.2, 5.2, 5.104761904761905)","(21.0, 34.0, 33.55555555555556)","(71.0, 95.0, 93.4090909090909)","(6.0, 8.0, 7.857692307692307)","(13.0, 18.0, 17.228571428571428)","(1.95, 2.2, 2.180625782227785)","(101.0, 360.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 10.5, 10.273529411764706)"
08-01-2023 13:11:13.288530,"(4.2, 5.4, 5.055696202531646)","(21.0, 34.0, 33.52173913043478)","(71.0, 95.0, 93.4090909090909)","(6.0, 8.0, 7.91685393258427)","(13.0, 18.0, 17.1)","(1.95, 2.2, 2.160510204081633)","(101.0, 360.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 10.5, 10.287878787878789)"
08-01-2023 13:11:14.492961,"(4.2, 5.4, 5.058666666666666)","(21.0, 34.0, 33.75)","(71.0, 95.0, 93.26086956521739)","(6.0, 8.0, 7.915116279069768)","(13.0, 18.0, 17.129032258064516)","(1.95, 2.2, 2.14974025974026)","(101.0, 360.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.83333333333333)","(8.0, 10.5, 10.415151515151516)"
08-01-2023 13:11:15.741504,"(4.2, 5.4, 5.054054054054054)","(21.0, 34.0, 33.6)","(71.0, 95.0, 93.26086956521739)","(6.0, 8.0, 7.914285714285715)","(13.0, 18.0, 17.11904761904762)","(1.95, 2.2, 2.1476424581005586)","(101.0, 360.0, 334.2857142857143)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 93.33333333333333)","(8.0, 10.5, 10.245454545454546)"
08-01-2023 13:11:17.057523,"(4.2, 5.4, 5.054054054054054)","(21.0, 34.0, 33.191489361702125)","(71.0, 95.0, 94.16666666666667)","(6.0, 8.0, 7.914285714285715)","(13.0, 18.0, 17.11904761904762)","(1.95, 2.2, 2.1476424581005586)","(101.0, 360.0, 334.2857142857143)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 94.44444444444444)","(8.0, 10.5, 10.344444444444445)"
