,Miss Fab Focus,Barelys Era,Helmet Giblet,Yuna Bale,Off Switch,Magical Doll,Dolly Quokka,Aston Audrey
14-12-2022 12:14:50.103178,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:51.190900,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:52.428816,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:53.739004,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:54.953447,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:56.168968,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:57.413018,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 53.0)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:14:58.733152,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 53.0)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:00.013037,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 53.0)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:01.344630,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 53.0)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
