,Summers Lost,Im Glad Too,Miss Sassy,Spitfire Sammy,Pollys Jester,Downpipe
08-01-2023 14:09:01.246770,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:02.316911,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:03.369847,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:04.389122,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:05.306528,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:06.241023,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:07.179052,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:08.114337,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:09.090351,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:10.007217,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:10.878785,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:11.802010,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:12.746591,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:13.679735,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:14.589857,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:15.572074,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:16.517304,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:17.502326,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:18.443481,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:19.324745,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:20.286504,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:21.236384,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:22.202453,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:23.152171,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.2)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:24.021178,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.847058823529412)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:24.998962,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:25.995739,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:27.018698,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:27.998837,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:28.975416,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:29.909168,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:30.844391,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:31.827798,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:32.777912,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:33.682448,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:34.649232,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:35.627594,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:36.543919,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:37.464662,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:38.595087,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:39.699269,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:40.786874,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:41.909073,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:42.914334,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:43.908037,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:45.043640,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:46.194442,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:47.194434,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:48.046388,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:49.091908,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:50.146561,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:09:51.167867,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:52.204404,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:53.178511,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 6.38)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:54.214905,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
