,Clarenden Envoy,Sir Lucas,Culture King,Im Jimmy James Nz,Regal Scribe,Assassinator
12-01-2023 14:04:35.485309,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:36.678326,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:37.791752,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:38.728602,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:39.735990,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:40.867834,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:41.946424,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:43.044815,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:44.157412,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:45.171905,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:46.153343,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:47.253860,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:48.351778,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:49.452161,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:50.583458,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:51.702756,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:52.697290,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:53.760160,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:54.836667,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:55.837892,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:56.838408,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:57.906062,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:04:59.009725,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:00.120671,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:01.243637,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:02.295464,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
