,Cheval De Vaga,Pyms Royale,Time Scale,Cash Away,Hint Of Mint,Magniforce,Tadweer,Goddess Of Giving,My Dilemma
07-01-2023 16:45:31.344496,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 140.0)","(3.8, 5.3, 4.98)","(10.0, 16.5, 14.666666666666666)","(31.0, 110.0, 82.8)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.698333333333333)","(13.0, 19.0, 18.125)"
07-01-2023 16:45:32.688744,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 142.22222222222223)","(3.8, 5.3, 4.98)","(10.0, 16.5, 14.875)","(31.0, 110.0, 76.0)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.698333333333333)","(13.0, 18.5, 18.125)"
07-01-2023 16:45:33.935079,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 142.22222222222223)","(3.8, 5.3, 4.933333333333334)","(10.0, 16.0, 14.8)","(31.0, 110.0, 76.8)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.675)","(13.0, 18.5, 18.023809523809526)"
07-01-2023 16:45:35.249910,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 133.33333333333334)","(3.8, 5.4, 5.319354838709677)","(10.0, 16.0, 15.727272727272727)","(31.0, 100.0, 76.8)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.625)","(13.0, 18.5, 18.023809523809526)"
07-01-2023 16:45:36.563862,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 133.33333333333334)","(3.8, 5.4, 5.133333333333334)","(10.0, 16.0, 15.727272727272727)","(31.0, 100.0, 73.8)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.625)","(13.0, 18.5, 18.023809523809526)"
07-01-2023 16:45:37.808270,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 130.0)","(3.8, 5.4, 5.133333333333334)","(10.0, 16.0, 15.727272727272727)","(31.0, 95.0, 73.8)","(26.0, 42.0, 32.714285714285715)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.625)","(13.0, 18.5, 18.023809523809526)"
07-01-2023 16:45:39.003815,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 130.0)","(3.8, 5.4, 5.133333333333334)","(10.0, 16.0, 15.727272727272727)","(31.0, 95.0, 68.5)","(26.0, 42.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.55)","(13.0, 18.5, 18.023809523809526)"
07-01-2023 16:45:40.379993,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.133333333333334)","(10.0, 16.0, 15.727272727272727)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.6, 4.860784313725491)","(13.0, 18.5, 17.770833333333332)"
07-01-2023 16:45:41.979411,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.133333333333334)","(10.0, 16.0, 15.727272727272727)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 17.770833333333332)"
07-01-2023 16:45:43.306234,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.251851851851852)","(10.0, 16.0, 15.818181818181818)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 17.770833333333332)"
07-01-2023 16:45:44.556673,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.066666666666666)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 17.770833333333332)"
07-01-2023 16:45:45.799940,"(4.6, 5.1, 5.083561643835616)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 17.770833333333332)"
07-01-2023 16:45:47.092075,"(4.6, 5.2, 5.173333333333334)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:48.355696,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:49.615069,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:50.915072,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:52.176440,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:53.439237,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.2)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:54.749137,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.818181818181818)","(31.0, 95.0, 68.5)","(26.0, 40.0, 36.0)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:55.983938,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.818181818181818)","(31.0, 95.0, 68.5)","(26.0, 38.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.863636363636364)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:57.196913,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.0, 15.033333333333333)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.865517241379311)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:58.323992,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.5, 15.033333333333333)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.865517241379311)","(13.0, 18.5, 16.3125)"
07-01-2023 16:45:59.521941,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.1499999999999995)","(10.0, 16.5, 15.033333333333333)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
