,Katies Portrait,Swifty Gadget,Aston Nancy,Notorious Diesel,Ruby Tubes,Margo,Cosmic Bruce,Off The Radar
16-12-2022 13:30:55.265295,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:30:56.412167,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:30:58.213384,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:30:59.585628,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:01.074531,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:02.347193,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:03.936981,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:05.338268,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:06.618579,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:07.897405,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:09.116341,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:10.298533,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:11.589126,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:12.848471,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:14.109726,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:15.370109,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 2.8825000000000003)"
16-12-2022 13:31:16.620348,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.85, 3.056)"
16-12-2022 13:31:17.894464,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:19.099015,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:20.280243,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:21.478049,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:22.678504,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 53.59375)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:23.875951,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:25.112802,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:26.345253,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:27.460620,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:28.612233,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:29.819032,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:31.113869,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
