,Only You,Fake,Teskey,Little Joe,Cartwheel,Pattaya Pete,Charlie Bender
04-01-2023 16:02:53.576010,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:02:54.885431,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:02:56.111626,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:02:57.330666,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:02:58.534147,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:02:59.638583,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:00.740728,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:01.851684,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:02.895345,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:04.056737,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
