,Tiger Mum,Loveless,Little Hercules,From The Shire,Swerve,Lone Hunter,More Peaches,Rosas Dance
11-01-2023 18:58:45.478959,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:46.464348,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:47.520183,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:48.571797,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:49.693057,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:50.779082,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:51.861743,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:52.968033,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:58:54.115485,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:58:55.227922,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
