,Manson,Pandoras Raptor,Ten Pineapples,Just A Brew,Storm Shelter,Yeah Sweetie,Disorder,Aston Mead
09-01-2023 16:44:08.239603,"(3.4, 4.9, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 178.0)","(10.0, 19.5, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.9, 2.53125)"
09-01-2023 16:44:09.464755,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.9, 2.53125)"
09-01-2023 16:44:10.789361,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.9, 2.53125)"
09-01-2023 16:44:11.870337,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.9, 2.6342857142857143)"
09-01-2023 16:44:13.010197,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:14.127707,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:15.168561,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:16.190217,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:17.317021,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:18.481759,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
