,Alfie Solomon,Unique Mundine,Shared Colour,Never Sweet,Pleasure Cruise,Opal Key,Sugar Hit Lenny
07-12-2022 20:55:13.182455,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:14.488031,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:15.799536,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:17.068682,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:18.486856,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:20.222748,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:21.226563,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:22.343656,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:23.512199,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:24.702905,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:25.879554,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:27.007933,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:28.129602,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:29.150430,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:30.261159,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:31.284657,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:32.299946,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:33.312128,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
