,Counterfeit,Taken Back,Rock On Cowboy,Liam Skye,Bodee Bodee,Mind On My Money,Muffin Nuts
16-12-2022 10:51:29.653781,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 130.28571428571428)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.54, 1.4466666666666665)"
16-12-2022 10:51:31.062756,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:32.185852,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:33.562737,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:34.777531,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:36.095606,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:37.375475,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:38.656154,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:39.912392,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:41.280122,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
