,Placid Hero,Elite Randy,Abby Doll,Moonlight Jack,No Joke,Nancy Baker,Distal,Storm Shelter
0,"[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 37, 4647), 12.0, 55.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 38, 152929), 12.0, 55.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 39, 369077), 12.0, 55.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 40, 511904), 12.0, 55.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 41, 663165), 12.0, 55.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 42, 811306), 12.0, 55.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 43, 951280), 12.0, 55.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 45, 105399), 12.0, 55.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 46, 357831), 12.0, 55.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 47, 585695), 12.0, 55.0]"
10,"[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 3.5, 4.7]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 4.6, 6.4]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 12.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 51.0, 440.0]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 33, 48, 745431), 12.0, 55.0]"
