,Aloha Chrome,Rays Regal,Irish Royalty,Boy Charlemagne,Murloc Bay,Cut Across Shorty,J Ds Rude Boy,Gunnin For Gold,El Bromista,Zeus War,Bronze One
09-01-2023 09:50:02.902853,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 12.65)","(7.5, 24.0, 16.3)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.7760000000000002)","(4.6, 8.2, 6.647058823529411)","(6.0, 9.8, 6.6571428571428575)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:04.254904,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 12.65)","(7.5, 24.0, 16.3)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.7760000000000002)","(4.6, 8.2, 6.647058823529411)","(6.0, 9.8, 6.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:05.653354,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 12.65)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.705714285714286)","(4.6, 8.2, 6.091666666666667)","(6.0, 9.2, 6.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:07.036467,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 16.0, 11.84)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.705714285714286)","(4.6, 8.0, 6.6000000000000005)","(6.0, 9.2, 6.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:08.325097,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 16.0, 13.025)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.705714285714286)","(4.6, 8.0, 6.6000000000000005)","(6.0, 9.2, 6.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:09.584671,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.5, 8.9)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.705714285714286)","(4.6, 8.0, 6.6000000000000005)","(6.0, 9.2, 4.616666666666667)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:10.831051,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.5, 8.9)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.705714285714286)","(4.6, 8.0, 6.6000000000000005)","(6.0, 7.0, 4.88)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:12.128844,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8000000000000003)","(4.6, 8.0, 6.8)","(6.0, 6.8, 6.133333333333333)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:13.510700,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 7.8999999999999995)","(6.0, 6.6, 5.472222222222222)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:14.880261,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 7.0, 4.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:16.250259,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 7.0, 4.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:17.549895,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 7.0, 4.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:18.877672,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 7.0, 4.8)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:20.247900,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 7.0, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:21.620799,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.275)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:22.990882,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 6.8)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:24.261722,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.74)","(4.6, 8.6, 7.8999999999999995)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:25.548207,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.6, 7.828571428571428)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:26.899819,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.6, 7.3090909090909095)","(6.0, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:28.231550,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.4)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:29.519622,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:30.846710,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:32.166800,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:33.542154,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:34.815626,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:36.069775,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(21.0, 34.0, 27.666666666666664)","(2.35, 2.98, 2.8240000000000003)","(4.6, 8.4, 6.566666666666666)","(6.0, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:37.386232,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8240000000000003)","(5.0, 8.4, 6.566666666666666)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:38.720842,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8240000000000003)","(5.0, 8.4, 6.566666666666666)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:40.102698,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 7.218181818181819)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 131.0)"
09-01-2023 09:50:41.369186,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:42.645334,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:44.013198,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1899999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:45.318402,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.65)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:46.659185,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:47.996709,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 19.04)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:49.307270,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 26.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:50.644303,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 12.3)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:51.995025,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.8360000000000003)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:53.433676,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:54.856354,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:56.283564,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:57.769190,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(7.5, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:50:59.117428,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1899999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:00.470367,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.65)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:01.853122,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:03.260486,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.1499999999999995)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:04.677045,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.966666666666667)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:06.106592,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.316666666666667)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:07.437303,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 7.218181818181819)","(4.8, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:08.761999,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 7.218181818181819)","(4.4, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:10.138946,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.685714285714287)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 7.218181818181819)","(4.4, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:11.557436,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.742857142857144)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.4, 6.8)","(4.4, 6.8, 5.0)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:13.037098,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 9.25)","(8.0, 25.0, 18.439999999999998)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.6, 6.933333333333334)","(4.4, 6.8, 5.1000000000000005)","(13.0, 34.0, 28.25)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:14.373182,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 15.0, 8.7)","(8.0, 25.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 9.0, 6.933333333333334)","(4.4, 7.2, 5.566666666666666)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:15.764456,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 9.0625)","(8.0, 24.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 9.0, 6.933333333333334)","(4.4, 7.2, 5.3100000000000005)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:16.994211,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 9.0625)","(8.0, 24.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 9.0, 6.933333333333334)","(4.4, 7.2, 5.3100000000000005)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:18.298472,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 9.0625)","(8.0, 24.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 9.0, 6.933333333333334)","(4.4, 7.2, 5.3100000000000005)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:19.650833,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.5, 11.95)","(8.0, 24.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 9.0, 6.633333333333334)","(4.4, 7.2, 4.925)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
09-01-2023 09:51:21.060072,"(21.0, 230.0, 176.5)","(41.0, 230.0, 178.25)","(6.5, 14.0, 11.95)","(8.0, 24.0, 16.3)","(41.0, 230.0, 188.6)","(19.0, 34.0, 27.666666666666664)","(2.4, 2.98, 2.74)","(5.0, 8.8, 6.633333333333334)","(4.4, 7.2, 4.925)","(13.0, 34.0, 22.5)","(41.0, 230.0, 126.5)"
