,Zulu Zephyr,Royal Carmilla,Paua Of Abby,Tarawi Lock Star,Zorros Sword
12-01-2023 18:32:56.547198,"(1.65, 2.22, 1.9927272727272727)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 90.0, 53.111111111111114)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:32:57.648098,"(1.65, 2.22, 1.9927272727272727)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 80.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:32:58.745436,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:32:59.904324,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:00.979835,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:02.076261,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:03.150794,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.4, 6.9071428571428575)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:04.205634,"(1.65, 2.22, 1.9927272727272727)","(21.0, 70.0, 44.75)","(4.0, 7.4, 5.2)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:05.241178,"(1.65, 2.22, 1.9927272727272727)","(21.0, 70.0, 44.75)","(4.0, 7.4, 4.875)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:06.335239,"(1.65, 2.22, 1.9927272727272727)","(21.0, 70.0, 44.75)","(4.0, 7.2, 4.542857142857143)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:07.406074,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.2, 4.542857142857143)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:08.429973,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.0, 4.68)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:09.526255,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.729268292682926)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:10.470427,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.23)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:11.600472,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.390000000000001)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:12.730295,"(1.65, 2.22, 2.1965765765765766)","(21.0, 70.0, 44.75)","(4.0, 7.0, 6.23)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:13.736641,"(1.65, 2.22, 2.095)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.23)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:14.739546,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.6, 6.07)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:15.793727,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.6, 6.07)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:16.891447,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.6, 6.07)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:17.997378,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.632352941176471)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:19.043058,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:20.062142,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:21.138131,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:22.206743,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:23.235672,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:24.407131,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:25.475752,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 61.44444444444444)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:26.525111,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 51.54545454545455)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:27.560765,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 90.0, 51.54545454545455)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:28.652815,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 90.0, 66.6875)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:29.744999,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 66.6875)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:30.847198,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:31.912790,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:32.908949,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:33.957792,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:35.074898,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
