,Kanga Lights,Mr Ticket,Blaze Maker,Swinging Forts,Didelis
04-01-2023 11:59:49.643268,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.5482051282051283)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.7844444444444445)"
04-01-2023 11:59:50.545766,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:51.396587,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:52.265078,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:53.116031,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:53.943472,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:54.831992,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:55.737735,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:56.564268,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:57.422419,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
