,Majestic Jewel,Buckles,Cmon Carl Lee,Rioterra,Right Of Reply,Kyvalley Surfrider Nz,Charlie Walker,Dicko Dixon
11-01-2023 20:53:32.637608,"(13.0, 16.5, 13.56060606060606)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 23.90909090909091)"
11-01-2023 20:53:33.784957,"(13.0, 15.0, 13.56060606060606)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:34.946604,"(13.0, 15.0, 13.616504854368932)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:36.078673,"(13.0, 15.0, 13.616504854368932)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:37.227185,"(13.0, 15.0, 13.616504854368932)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:38.432276,"(13.0, 15.0, 13.616504854368932)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.277777777777779)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:53:39.671443,"(13.0, 15.0, 13.616504854368932)","(4.6, 6.0, 5.84)","(1.9, 2.82, 2.753333333333333)","(6.5, 9.2, 8.3)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.25)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:53:40.872624,"(13.0, 15.0, 13.515625)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.578333333333333)","(6.5, 9.2, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.666666666666668)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:53:42.135435,"(13.0, 15.0, 13.515625)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.578333333333333)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.666666666666668)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:43.392962,"(13.0, 19.0, 15.142857142857142)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4675)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:44.675096,"(13.0, 19.0, 14.416666666666666)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:45.969691,"(13.0, 18.0, 16.714285714285715)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:47.162709,"(13.0, 17.5, 15.5)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:48.535251,"(13.0, 17.5, 15.5)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
