,Trappe The Gold,Preachingtothewire,Stunning Hero,Brilliantbenny,Jack Of All Trades,Enough Ice,Blaziano
0,"[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 2.9, 3.15]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 594385), 3.8, 4.1]"
1,"[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 3.7, 3.95]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 2.9, 3.15]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 720547), 3.8, 4.1]"
2,"[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 3.7, 3.95]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 2.9, 3.15]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 844425), 3.8, 4.1]"
3,"[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 976050), 3.8, 4.1]"
4,"[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 89018), 3.8, 4.1]"
5,"[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 212598), 3.8, 4.1]"
6,"[datetime.datetime(2022, 11, 28, 9, 50, 18, 331524), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 331524), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 331524), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 331524), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 332525), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 332525), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 332525), 3.8, 4.1]"
7,"[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 495743), 3.8, 4.2]"
8,"[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 3.7, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 618963), 3.8, 4.2]"
9,"[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 3.7, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 751020), 3.8, 4.4]"
