,Water Into Wine,Midas Prince,Black Syrah,Prospectus,Sword Of War,Duke Of Bedford,Supreme Thunder,Orpheline
08-12-2022 14:39:51.701235,"(8.0, 10.0, 9.65)","(6.5, 9.0, 8.559999999999999)","(15.0, 19.5, 17.25)","(3.9, 5.0, 4.546153846153846)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.6185714285714283)","(51.0, 360.0, 166.66666666666669)"
08-12-2022 14:39:53.228672,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.844444444444443)","(15.0, 19.5, 17.25)","(3.9, 5.0, 4.546153846153846)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.6185714285714283)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:39:54.761828,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.844444444444443)","(15.0, 19.5, 17.25)","(3.9, 5.0, 4.546153846153846)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.525333333333333)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:39:56.547892,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.844444444444443)","(15.0, 19.5, 17.25)","(3.9, 5.0, 4.74)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.525333333333333)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:39:58.525593,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.25)","(3.9, 4.9, 4.800000000000001)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.525333333333333)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:39:59.940459,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.25)","(3.9, 4.9, 4.800000000000001)","(8.0, 99999, 99990)","(20.0, 60.0, 51.529411764705884)","(2.1, 2.76, 2.525333333333333)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:01.266402,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.76, 2.5466666666666664)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:02.608867,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.625)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.76, 2.5157142857142856)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:04.034643,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.76, 2.5428571428571427)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:05.392977,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.76, 2.5428571428571427)","(51.0, 360.0, 231.11111111111111)"
