,Misdemeanor,Miss Verstappen Nz,Dancintothebeat,Speed Dating,Okinawa Beach,Bettor Romance,Eva Mateo,Molliesmaryelle,Marianna Bromac Nz
07-01-2023 19:48:51.831008,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:53.099134,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:54.466884,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:55.800686,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:57.159342,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:58.486360,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:48:59.704672,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:00.980949,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:02.271161,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:03.579862,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:04.813337,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:05.998897,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:07.254501,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:08.586945,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:09.895222,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:11.176600,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:12.376432,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.78)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:13.622427,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:14.924282,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:16.229316,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:17.570549,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:18.889304,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:20.171983,"(1.9, 2.78, 2.513333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:21.489750,"(1.9, 2.76, 2.604)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:22.737455,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:23.909954,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:25.217815,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:26.556155,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:27.924392,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:29.223946,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:30.490903,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:31.784707,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:33.026383,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:34.256194,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:35.515480,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:36.650160,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:37.773958,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:38.882341,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
