,River Patrol Nz,Baccarat,Final Bow,Paddy Mach,Live For Peace,Got The Goods
14-12-2022 12:25:49.539643,"(10.0, 99999, 99990)","(3.6, 6.8, 6.333333333333334)","(6.0, 9.6, 8.68)","(1.95, 2.38, 2.374285714285714)","(8.5, 12.5, 11.884615384615385)","(8.5, 99999, 99990)"
14-12-2022 12:25:50.892906,"(10.0, 99999, 99990)","(3.6, 6.4, 6.466666666666667)","(6.0, 9.0, 8.377777777777778)","(1.95, 2.38, 2.373333333333333)","(8.5, 12.5, 11.884615384615385)","(8.5, 99999, 99990)"
14-12-2022 12:25:52.236125,"(10.0, 99999, 99990)","(3.6, 6.6, 6.466666666666667)","(6.0, 9.6, 8.377777777777778)","(1.95, 2.38, 2.373333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:25:53.517190,"(10.0, 99999, 99990)","(3.6, 6.8, 6.275)","(6.0, 9.6, 8.5)","(1.95, 2.38, 2.353333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:25:54.886878,"(10.0, 99999, 99990)","(3.6, 6.8, 6.275)","(6.0, 9.6, 8.5)","(1.95, 2.38, 2.353333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:25:56.266501,"(10.0, 99999, 99990)","(3.6, 6.8, 6.275)","(6.0, 9.6, 8.5)","(1.95, 2.38, 2.353333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:25:57.705655,"(10.0, 99999, 99990)","(3.6, 6.8, 6.275)","(6.0, 9.6, 8.5)","(1.95, 2.38, 2.353333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:25:59.089193,"(10.0, 99999, 99990)","(3.6, 6.8, 6.275)","(6.0, 9.6, 8.5)","(1.95, 2.38, 2.353333333333333)","(8.5, 12.5, 11.357142857142858)","(8.5, 99999, 99990)"
14-12-2022 12:26:00.505089,"(10.0, 99999, 99990)","(3.6, 6.8, 5.733333333333333)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.38, 2.4466666666666668)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:01.682871,"(10.0, 99999, 99990)","(3.6, 5.9, 5.733333333333333)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.66, 2.4466666666666668)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:02.976700,"(10.0, 99999, 99990)","(3.6, 5.8, 5.542857142857143)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.64, 2.3515384615384614)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:04.299749,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.64, 2.4362962962962964)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:05.565229,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4362962962962964)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:06.832361,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:08.047704,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:09.296800,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:10.633852,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:11.788612,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:13.075765,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.4238709677419354)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:14.380646,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.6, 2.5)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:15.694218,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:17.058422,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:18.213907,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:19.540485,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:20.874705,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:22.362098,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:23.719547,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:24.985987,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:26.176061,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:27.376171,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:28.572213,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:29.769178,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:30.974427,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5246153846153847)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:32.230845,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4975)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:33.480194,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:34.677044,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:35.849947,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:37.000472,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:38.087134,"(10.0, 99999, 99990)","(3.6, 5.8, 5.2)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:39.264915,"(10.0, 99999, 99990)","(3.6, 5.5, 5.1571428571428575)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:40.454332,"(10.0, 99999, 99990)","(3.6, 5.5, 5.1571428571428575)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:41.652967,"(10.0, 99999, 99990)","(3.6, 5.5, 5.1571428571428575)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:42.787086,"(10.0, 99999, 99990)","(3.6, 5.5, 5.1571428571428575)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:43.958758,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:45.125625,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:46.276105,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:47.409874,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:48.495635,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.5585714285714287)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:49.621509,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.556923076923077)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:50.692829,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.556923076923077)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:51.815484,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.556923076923077)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:53.026351,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.556923076923077)","(8.5, 12.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:54.229753,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 14.0, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:55.403415,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:56.603913,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:57.785439,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:26:58.958724,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:00.131343,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:01.305953,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.657142857142857)","(1.95, 2.58, 2.4299999999999997)","(8.5, 13.5, 11.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:02.437841,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.6, 8.28888888888889)","(1.95, 2.58, 2.5028571428571427)","(8.5, 13.5, 11.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:03.823176,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.4, 8.28888888888889)","(1.95, 2.56, 2.5028571428571427)","(8.5, 13.0, 11.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:04.958976,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.4, 8.28888888888889)","(1.95, 2.56, 2.5028571428571427)","(8.5, 13.0, 11.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:06.068208,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.4, 8.28888888888889)","(1.95, 2.56, 2.5028571428571427)","(8.5, 13.0, 11.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:07.253728,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.4, 8.4)","(1.95, 2.56, 2.5028571428571427)","(8.5, 13.0, 11.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:08.366371,"(10.0, 99999, 99990)","(3.6, 5.3, 5.0)","(6.0, 9.4, 9.085714285714285)","(1.95, 2.56, 2.304329896907216)","(8.5, 13.0, 12.75)","(8.5, 99999, 99990)"
14-12-2022 12:27:09.450602,"(10.0, 99999, 99990)","(3.6, 5.3, 5.042857142857143)","(6.0, 9.4, 9.32)","(1.95, 2.32, 2.388)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:10.719054,"(10.0, 99999, 99990)","(3.6, 5.3, 5.140000000000001)","(6.0, 9.8, 8.942857142857143)","(1.95, 2.4, 2.4266666666666667)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:11.899501,"(10.0, 99999, 99990)","(3.6, 5.7, 4.886666666666667)","(6.0, 9.8, 8.7)","(1.95, 2.44, 2.4266666666666667)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:13.034277,"(10.0, 99999, 99990)","(3.6, 4.9, 4.886666666666667)","(6.0, 9.6, 9.2)","(1.95, 2.44, 2.324705882352941)","(8.5, 13.5, 12.666666666666666)","(8.5, 99999, 99990)"
14-12-2022 12:27:14.225258,"(10.0, 99999, 99990)","(3.6, 5.0, 4.928571428571429)","(6.0, 9.8, 9.2)","(1.95, 2.34, 2.3098823529411763)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:15.313381,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.25)","(1.95, 2.32, 2.3098823529411763)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:16.434490,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.466666666666667)","(1.95, 2.32, 2.4336363636363636)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:17.600040,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.4336363636363636)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
