,Pocket Rox,Komachi,Dance Of Thunder,Hot Seat,Numpty,Bronski,Nerrivik,Rogers Day,Strawberry Moon,Fiji,More Than Discreet,Sheeza Tilly,Masina
06-01-2023 15:28:33.738306,"(19.0, 24.0, 24.928571428571427)","(3.3, 3.7, 3.6241839762611274)","(8.0, 9.8, 9.781818181818183)","(91.0, 150.0, 136.66666666666666)","(6.0, 6.8, 6.733333333333333)","(81.0, 170.0, 166.66666666666666)","(26.0, 36.0, 34.42857142857143)","(15.0, 21.0, 20.066666666666666)","(4.0, 4.8, 4.756818181818182)","(11.0, 14.0, 13.707792207792208)","(21.0, 28.0, 26.88888888888889)","(26.0, 38.0, 36.92307692307692)","(101.0, 550.0, 537.5)"
06-01-2023 15:28:35.353475,"(19.0, 25.0, 24.928571428571427)","(3.3, 3.65, 3.6241839762611274)","(8.0, 9.8, 9.587951807228915)","(91.0, 150.0, 136.66666666666666)","(6.0, 6.8, 6.733333333333333)","(81.0, 170.0, 166.66666666666666)","(26.0, 36.0, 34.42857142857143)","(15.0, 21.0, 20.22222222222222)","(4.0, 4.8, 4.745)","(11.0, 14.0, 13.738805970149254)","(21.0, 28.0, 26.96551724137931)","(26.0, 38.0, 37.10204081632653)","(101.0, 550.0, 537.5)"
06-01-2023 15:28:36.953533,"(19.0, 26.0, 25.047619047619047)","(3.3, 3.65, 3.6241839762611274)","(8.0, 9.6, 9.587951807228915)","(91.0, 150.0, 107.5)","(6.0, 6.8, 6.733333333333333)","(81.0, 170.0, 166.25)","(26.0, 36.0, 34.69230769230769)","(14.0, 21.0, 20.34375)","(4.0, 4.8, 4.809313725490196)","(11.0, 14.0, 13.757352941176471)","(21.0, 28.0, 26.949152542372882)","(26.0, 38.0, 36.827586206896555)","(101.0, 550.0, 537.5)"
06-01-2023 15:28:38.459668,"(19.0, 26.0, 24.94736842105263)","(3.3, 3.65, 3.622077922077922)","(8.0, 9.8, 9.72857142857143)","(91.0, 110.0, 148.27586206896552)","(6.0, 6.8, 6.578881987577639)","(81.0, 170.0, 152.0)","(26.0, 36.0, 36.4)","(14.0, 21.0, 21.153846153846153)","(4.0, 4.9, 4.818552036199095)","(11.0, 14.0, 13.855263157894736)","(21.0, 28.0, 25.862068965517242)","(26.0, 38.0, 36.86153846153846)","(101.0, 550.0, 537.5)"
06-01-2023 15:28:40.079971,"(19.0, 26.0, 25.476190476190474)","(3.3, 3.65, 3.637843137254902)","(8.0, 9.8, 9.657142857142857)","(91.0, 150.0, 142.0)","(6.0, 6.6, 6.64)","(81.0, 170.0, 151.11111111111111)","(26.0, 38.0, 36.18181818181818)","(14.0, 22.0, 21.266666666666666)","(4.0, 4.9, 4.945751633986928)","(11.0, 14.0, 13.867768595041323)","(21.0, 26.0, 26.333333333333332)","(26.0, 38.0, 36.92537313432836)","(101.0, 550.0, 540.0)"
06-01-2023 15:28:41.630068,"(19.0, 27.0, 25.545454545454547)","(3.3, 3.65, 3.6370833333333334)","(8.0, 9.8, 9.564341085271318)","(91.0, 150.0, 126.66666666666667)","(6.0, 6.8, 6.594594594594594)","(81.0, 160.0, 146.66666666666666)","(31.0, 38.0, 36.22222222222222)","(15.0, 22.0, 20.347826086956523)","(4.2, 5.0, 4.941780821917808)","(11.0, 14.0, 13.444444444444445)","(21.0, 27.0, 25.842105263157894)","(26.0, 38.0, 36.885714285714286)","(101.0, 550.0, 540.0)"
06-01-2023 15:28:43.200583,"(19.0, 27.0, 25.72222222222222)","(3.3, 3.65, 3.6331081081081082)","(8.0, 9.8, 9.568595041322315)","(81.0, 160.0, 135.0)","(6.0, 6.6, 6.621319796954315)","(91.0, 160.0, 102.0)","(31.0, 38.0, 36.434782608695656)","(15.0, 22.0, 19.69148936170213)","(4.2, 5.0, 4.954918032786885)","(11.0, 13.5, 13.639344262295083)","(21.0, 26.0, 26.145454545454545)","(26.0, 38.0, 36.929577464788736)","(101.0, 550.0, 540.0)"
06-01-2023 15:28:44.714904,"(19.0, 27.0, 25.97142857142857)","(3.3, 3.65, 3.6331081081081082)","(8.0, 9.8, 9.568595041322315)","(81.0, 150.0, 135.0)","(6.0, 6.8, 6.635675675675675)","(91.0, 110.0, 100.76923076923077)","(31.0, 38.0, 36.434782608695656)","(15.0, 21.0, 19.68)","(4.2, 5.0, 4.998780487804878)","(11.0, 14.0, 13.639344262295083)","(21.0, 27.0, 25.867469879518072)","(26.0, 38.0, 36.916666666666664)","(101.0, 550.0, 545.0)"
06-01-2023 15:28:46.195018,"(19.0, 27.0, 25.97142857142857)","(3.3, 3.65, 3.6331081081081082)","(8.0, 9.8, 9.568595041322315)","(81.0, 150.0, 128.0)","(6.0, 6.6, 6.663565891472868)","(91.0, 110.0, 100.76923076923077)","(31.0, 38.0, 36.434782608695656)","(15.0, 21.0, 19.663636363636364)","(4.2, 5.0, 4.992682926829269)","(11.0, 14.0, 13.560344827586206)","(21.0, 27.0, 25.867469879518072)","(26.0, 38.0, 36.916666666666664)","(101.0, 550.0, 545.0)"
06-01-2023 15:28:47.715221,"(19.0, 27.0, 25.97142857142857)","(3.3, 3.65, 3.6331081081081082)","(8.0, 9.8, 9.56875)","(81.0, 140.0, 128.0)","(6.0, 6.8, 6.663565891472868)","(91.0, 110.0, 105.0)","(31.0, 38.0, 36.53061224489796)","(15.0, 21.0, 19.795081967213115)","(4.2, 5.0, 4.975892857142857)","(11.0, 14.0, 13.424418604651162)","(21.0, 27.0, 26.52173913043478)","(26.0, 38.0, 36.96)","(101.0, 550.0, 545.0)"
