,A Good Yarn,Pride Of Limassol,Wanaroo,Alfoil,Chosen Miss,Bella Babe,Friday At Five,Danerich Dan,Almira Gulch,Breaker Of Chains,Make An Effort,Filips Star
16-12-2022 15:41:33.689861,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.88235294117647)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.4)","(3.3, 3.8, 3.668032786885246)","(5.5, 9.4, 8.905882352941177)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.290243902439024)"
16-12-2022 15:41:35.166883,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.4)","(3.3, 3.75, 3.6706349206349205)","(5.5, 9.4, 8.861538461538462)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.086163522012578)"
16-12-2022 15:41:36.596206,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6735294117647057)","(5.5, 9.4, 8.861538461538462)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 72.5)","(3.9, 4.1, 4.045555555555556)"
16-12-2022 15:41:37.989209,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.4, 9.857142857142858)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 47.0)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 65.0)","(3.9, 4.1, 3.985)"
16-12-2022 15:41:39.357673,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 10.0, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
16-12-2022 15:41:40.681570,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
16-12-2022 15:41:42.008009,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
16-12-2022 15:41:43.327918,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.971153846153847)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9565217391304346)"
16-12-2022 15:41:44.603494,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.971153846153847)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.941176470588235)"
16-12-2022 15:41:45.957678,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.971153846153847)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9166666666666665)"
16-12-2022 15:41:47.317301,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.971153846153847)","(8.5, 11.0, 10.2)","(18.0, 26.0, 25.142857142857142)","(3.3, 3.75, 3.6818181818181817)","(5.5, 9.8, 9.733333333333334)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9166666666666665)"
16-12-2022 15:41:48.680767,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.65)","(5.5, 9.8, 9.733333333333334)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.914285714285714)"
16-12-2022 15:41:49.991135,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.65)","(5.5, 9.8, 9.733333333333334)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.935)"
16-12-2022 15:41:51.320741,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.65)","(5.5, 9.8, 9.282352941176471)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.935)"
16-12-2022 15:41:52.679988,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.68125)","(5.5, 9.8, 9.282352941176471)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.935)"
16-12-2022 15:41:53.975423,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.68125)","(5.5, 9.8, 9.282352941176471)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.935)"
16-12-2022 15:41:55.282874,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.68125)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.935)"
16-12-2022 15:41:56.542162,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.68125)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 4.012138728323699)"
16-12-2022 15:41:57.869570,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.68125)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.1, 3.9775)"
16-12-2022 15:41:59.186948,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.90909090909091)","(3.3, 3.75, 3.692857142857143)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9775)"
16-12-2022 15:42:00.538691,"(7.0, 8.4, 8.357894736842105)","(19.0, 21.0, 20.972477064220183)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.664285714285714)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 75.0, 55.0)","(3.9, 4.0, 3.9775)"
16-12-2022 15:42:01.799302,"(7.0, 8.4, 8.376470588235295)","(19.0, 22.0, 21.70731707317073)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.664285714285714)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.965909090909091)"
16-12-2022 15:42:03.115814,"(7.0, 8.4, 8.376470588235295)","(19.0, 22.0, 21.666666666666668)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.664285714285714)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.965909090909091)"
16-12-2022 15:42:04.485563,"(7.0, 8.6, 8.399999999999999)","(19.0, 22.0, 21.666666666666668)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.669230769230769)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.965909090909091)"
16-12-2022 15:42:05.905215,"(7.0, 8.6, 8.399999999999999)","(19.0, 22.0, 21.65289256198347)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.68)","(5.5, 9.8, 9.24)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.965909090909091)"
16-12-2022 15:42:07.219776,"(7.0, 8.6, 8.399999999999999)","(19.0, 22.0, 21.65289256198347)","(8.5, 11.0, 10.153846153846153)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.68)","(5.5, 9.8, 9.177777777777777)","(20.0, 40.0, 38.15384615384615)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 232.5)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.965909090909091)"
16-12-2022 15:42:08.599811,"(7.0, 8.6, 8.399999999999999)","(19.0, 22.0, 21.65289256198347)","(8.5, 11.0, 10.101694915254237)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.68)","(5.5, 9.8, 9.2)","(20.0, 40.0, 37.0)","(31.0, 48.0, 46.90909090909091)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 252.0)","(41.0, 65.0, 55.0)","(3.9, 4.0, 3.936078431372549)"
16-12-2022 15:42:09.929707,"(7.0, 8.6, 8.399999999999999)","(19.0, 22.0, 21.65289256198347)","(8.5, 11.0, 10.101694915254237)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.2)","(20.0, 38.0, 37.0)","(31.0, 48.0, 46.90909090909091)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 252.0)","(41.0, 65.0, 61.25)","(3.9, 4.1, 3.936078431372549)"
