,Buckle Up Kenzie,Classy Lady,Cape Fernando,Quick Joey Small,Buckle Up Elise,Quest For More,Vintage Fame
0,"[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 168566), 4.6, 8.0]"
1,"[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 311357), 4.6, 8.0]"
2,"[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 481091), 4.6, 8.0]"
3,"[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 38, 610075), 4.6, 8.0]"
4,"[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 748433), 4.6, 8.0]"
5,"[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 881258), 4.6, 8.0]"
6,"[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 6708), 4.6, 8.0]"
7,"[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 133742), 4.6, 8.0]"
8,"[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 261221), 4.6, 8.0]"
9,"[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 376080), 4.6, 8.0]"
10,"[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 46, 509424), 4.6, 8.0]"
11,"[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 633890), 4.6, 8.0]"
12,"[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 757848), 4.6, 8.0]"
13,"[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 4.0, 8.6]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 3.8, 6.2]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 20, 13, 49, 876032), 4.6, 8.0]"
