,Frame Drive,Soulwriter,Lazy Blaze,Wonderwoman Jujon,Toro Delago Nz,Calvert Hot Shot,Im A Classy Girl,Borsellino,Rocknholme
07-12-2022 19:13:48.084352,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:49.556581,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:50.986831,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:52.471212,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:53.862717,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:55.341430,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:56.587245,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.242857142857143)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:57.944558,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:13:59.386167,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:00.880283,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
