,Krafty Boy,The Dancer,Tom The Curious,Mach Daddy,Smooth Overarm Nz,Pippo Nien,Dark Terror,Dukkah,Terryrama,Eagle Commander
07-12-2022 19:04:00.599347,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.777777777777778)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:02.260411,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:03.785469,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:05.222253,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:06.649239,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:08.025687,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:09.397574,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:10.867360,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:12.383870,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
07-12-2022 19:04:13.809532,"(51.0, 240.0, 142.0)","(61.0, 290.0, 170.0)","(15.0, 30.0, 25.5)","(4.8, 7.4, 6.95)","(2.45, 99999, 99990)","(20.0, 50.0, 43.45454545454545)","(15.0, 30.0, 21.5)","(10.0, 12.5, 11.166666666666666)","(4.2, 6.2, 5.32)","(7.5, 9.6, 8.622222222222222)"
