,Charming Lass,Marben Val,Always A Show,Aussie Chevy,Subzero Ash,She Flys,Summer Lilly,Indian Wells
11-01-2023 13:10:10.285622,"(6.0, 13.5, 10.966666666666667)","(18.0, 36.0, 20.76923076923077)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:11.368963,"(6.0, 13.5, 10.357142857142858)","(18.0, 36.0, 20.76923076923077)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:12.445399,"(6.0, 13.5, 10.357142857142858)","(18.0, 36.0, 20.76923076923077)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:13.441817,"(6.0, 13.5, 10.357142857142858)","(18.0, 36.0, 20.76923076923077)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:14.563085,"(6.0, 13.5, 10.966666666666667)","(18.0, 36.0, 20.76923076923077)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:15.855594,"(6.0, 13.5, 11.144444444444444)","(18.0, 36.0, 19.846153846153847)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:16.890366,"(6.0, 13.5, 11.144444444444444)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:17.991036,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:19.014654,"(6.0, 13.5, 10.75)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:20.119025,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:21.115946,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:22.158820,"(6.0, 13.5, 11.144444444444444)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:23.142441,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:24.243231,"(6.0, 13.5, 12.684615384615384)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:25.239029,"(6.0, 13.5, 12.684615384615384)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:26.281179,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:27.262077,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:28.252071,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9827692307692306)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:29.260432,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:30.265282,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:31.303795,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:32.318913,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:33.350255,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 9.890322580645162)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.5)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:34.335818,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 22.5)","(3.0, 3.7, 2.9715625)","(5.5, 10.0, 6.403921568627451)","(4.6, 7.6, 5.427777777777777)","(9.0, 19.5, 17.833333333333332)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
