,Big Time Brielle,Allegro Smudge,Adobe Don,Big Time Ring,Big Time May,Elite Bubble
16-12-2022 13:50:04.405282,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:05.321695,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:06.267430,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:07.272928,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:08.278349,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:09.197471,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:10.116709,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:11.012681,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:12.067069,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:13.081151,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:14.071529,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:15.001716,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:15.970015,"(3.1, 9.4, 7.9)","(1.7, 2.02, 1.7457692307692307)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:16.904816,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:17.778060,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:18.631496,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:19.477284,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:20.383949,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:21.265152,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:22.157212,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:23.026182,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:23.859152,"(3.1, 9.4, 7.9)","(1.7, 2.0, 1.7583333333333333)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:24.759522,"(3.1, 9.4, 7.9)","(1.7, 2.1, 1.7608695652173914)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:25.593852,"(3.1, 9.4, 7.9)","(1.7, 2.1, 1.7608695652173914)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:26.507682,"(3.1, 9.4, 7.9)","(1.7, 2.1, 1.7608695652173914)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:27.513034,"(3.1, 9.4, 7.9)","(1.7, 2.08, 1.7716666666666667)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:28.372087,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:29.261672,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:30.200905,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:31.046514,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
16-12-2022 13:50:32.008686,"(3.1, 9.4, 7.9)","(1.7, 2.06, 1.7503846153846154)","(9.0, 42.0, 25.5)","(6.5, 13.0, 8.440000000000001)","(20.0, 150.0, 84.0)","(16.0, 200.0, 142.03125)"
