,Skipover,Win For Laila,Asgata,Miss Conveyor,Crimson Lille,Elegant Taste,Jo Amy,Mischief Melody,Santafe Express,Awesome Tap
12-01-2023 10:33:53.792198,"(19.0, 34.0, 130.2)","(8.5, 18.5, 13.642857142857142)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.8200000000000003)","(7.0, 26.0, 16.0)","(3.2, 4.3, 4.06)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:33:55.109795,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.8200000000000003)","(7.0, 26.0, 16.0)","(3.2, 4.3, 4.06)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:33:56.380124,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.8200000000000003)","(7.0, 26.0, 16.0)","(3.2, 4.3, 4.06)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:33:57.593490,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.88125)","(7.0, 26.0, 16.0)","(3.2, 4.3, 4.06)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:33:58.783419,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.88125)","(7.0, 26.0, 16.0)","(3.2, 4.3, 4.022222222222222)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:34:00.010354,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.88125)","(7.0, 26.0, 16.0)","(3.2, 4.3, 3.6692307692307695)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:34:01.263769,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.88125)","(7.0, 26.0, 16.0)","(3.2, 4.2, 3.257142857142857)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:34:02.532639,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.530000000000001)","(20.0, 230.0, 203.625)","(4.0, 4.0, 3.88125)","(7.0, 26.0, 16.0)","(3.2, 4.2, 3.3)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:34:03.885521,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 11.981818181818182)","(20.0, 230.0, 203.625)","(4.0, 3.95, 3.65)","(7.0, 26.0, 16.0)","(3.2, 4.1, 3.718181818181818)","(10.0, 24.0, 20.875)","(31.0, 230.0, 127.5)"
12-01-2023 10:34:05.158809,"(19.0, 160.0, 130.2)","(8.5, 18.5, 12.833333333333332)","(15.0, 220.0, 168.875)","(5.0, 16.5, 12.95)","(20.0, 230.0, 183.1111111111111)","(4.0, 3.95, 3.65)","(7.0, 26.0, 19.0)","(3.2, 4.1, 3.34)","(10.0, 24.0, 18.4)","(31.0, 230.0, 90.0)"
