,Sozins Princess,Goldstar Ange,Free For All,Sapporo Bale,Homebush Sparkle,Champagne,Mitcham Zorro,Mysterious Lady
12-01-2023 14:11:04.204559,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.0, 16.792307692307695)","(9.0, 17.5, 15.989473684210527)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.989473684210527)"
12-01-2023 14:11:05.598674,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.989473684210527)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:06.878029,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.989473684210527)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:08.226420,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.989473684210527)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:09.474322,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:10.729886,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:12.061975,"(10.0, 32.0, 21.9375)","(3.6, 10.0, 8.180555555555555)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:13.379712,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 7.527272727272727)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:14.693798,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.25)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:16.004118,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.25)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:17.302320,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.25)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:18.662723,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.25)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:20.041514,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.305882352941175)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:21.229202,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.305882352941175)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:22.385925,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.305882352941175)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:23.544451,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.305882352941175)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:24.809832,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.98709677419355)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:26.212130,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.98709677419355)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:27.476818,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.98709677419355)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.823529411764707)"
12-01-2023 14:11:28.860828,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:30.143326,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:31.552726,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:33.042398,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:34.427591,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:35.664936,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:37.085544,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:38.834595,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:40.324337,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:41.584451,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.218181818181819)"
12-01-2023 14:11:42.872941,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:44.075502,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:45.239981,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:46.774762,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:48.068845,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:49.287933,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.628571428571428)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:50.761902,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:52.199471,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:53.624423,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 13.911111111111111)"
12-01-2023 14:11:54.877582,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:11:56.144819,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:11:57.457744,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.911111111111111)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.89473684210526)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:11:58.766665,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:00.057748,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.294117647058824)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:01.345330,"(10.0, 32.0, 21.9375)","(3.6, 9.8, 8.980645161290322)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:02.617750,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.980645161290322)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:03.860864,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.980645161290322)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:05.307557,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:06.686545,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
