,Winsome Ruby,Great Fantasy Nz,Aru And Me,Irene Rose,Make Mine Muscle,Quick Quaker,Kabayo King,Orlandos Gift,Our Spitfire Nz,Magic Owens,Super Angus,Farbio
0,"[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 28, 59, 283381), 61.0, 230.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 0, 582791), 61.0, 230.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 1, 896002), 61.0, 230.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 3, 167120), 61.0, 230.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 4, 440668), 61.0, 230.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 5, 732624), 61.0, 230.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 7, 13632), 61.0, 230.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 8, 297773), 61.0, 230.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 9, 590168), 61.0, 230.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 3.0, 4.7]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 12.0, 99999]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 29, 10, 868770), 61.0, 230.0]"
