,Clares Fool,Teachers Pet,Schooby,Galvarino,Fortes In Fide,Make Mine Joe,Studleigh Will,Betting Baron,Delightful Rainbow
08-12-2022 13:33:54.636591,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:33:56.086581,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:33:57.531806,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:33:58.865983,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:00.153442,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:01.467367,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:02.927906,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:04.344911,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:05.765380,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:07.358236,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:08.765525,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:10.323650,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:11.715066,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:12.977960,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:14.364816,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:15.874280,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:17.278365,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
08-12-2022 13:34:18.672002,"(2.5, 4.2, 3.16)","(5.0, 7.8, 6.7125)","(13.0, 18.0, 13.0)","(8.5, 12.5, 10.040000000000001)","(21.0, 38.0, 28.0)","(61.0, 130.0, 117.5)","(3.8, 5.1, 4.609090909090909)","(7.5, 13.0, 10.733333333333333)","(16.0, 30.0, 23.4)"
