,Disagreeable Miss,Street Culture,Wheels,Kyshaka,Red Sequoia,Dont Dismiss,Lord Wonder,Aussie Sojourn,Staying Strong
07-01-2023 14:30:17.484473,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 14.5, 14.333333333333334)","(17.0, 38.0, 34.21052631578947)","(31.0, 70.0, 54.0)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:18.671804,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.333333333333334)","(17.0, 38.0, 34.21052631578947)","(31.0, 70.0, 54.0)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:19.900378,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 70.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:21.269208,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:22.518421,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:23.781425,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:24.920733,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:26.061975,"(2.4, 2.72, 2.672)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:27.299921,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:28.544529,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:29.745513,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.666666666666666)","(17.0, 38.0, 34.21052631578947)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:30.954993,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 32.0)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:32.178511,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:33.475069,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.378947368421053)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:34.680769,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:35.871818,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.861818181818181)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:37.103473,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5377777777777775)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.875555555555556)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:38.284455,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 14.25)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.875555555555556)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:39.543210,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 13.625)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:40.782512,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.5, 13.605263157894736)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:42.016914,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.5, 13.605263157894736)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:43.333488,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:44.619385,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:45.941868,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.38918918918919)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:47.358598,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.5476190476190474)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.4, 7.466666666666667)","(6.0, 8.0, 7.832835820895522)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:48.789416,"(2.4, 2.72, 2.6783333333333337)","(11.0, 11.5, 11.0)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
