,Blitzem Benny,Artimos,No More Promises,Gracenava,Shady Jess,Tara Leeann,White Pointer,Glitter Strip,Notmuchuptop,Mach Charm
09-01-2023 13:42:09.004631,"(41.0, 80.0, 41.33333333333333)","(21.0, 40.0, 57.666666666666664)","(5.5, 13.5, 11.416666666666666)","(19.0, 25.0, 16.25)","(3.7, 4.5, 3.6916666666666664)","(4.4, 5.4, 5.28)","(61.0, 140.0, 115.71428571428571)","(10.0, 13.0, 11.8)","(5.5, 8.0, 7.68)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:11.777839,"(41.0, 80.0, 41.33333333333333)","(21.0, 75.0, 37.0)","(5.5, 13.5, 11.416666666666666)","(19.0, 25.0, 18.0)","(3.7, 4.4, 3.6916666666666664)","(4.4, 5.4, 5.28)","(61.0, 140.0, 123.0)","(10.0, 13.0, 12.142857142857142)","(5.5, 8.0, 7.68)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:13.748425,"(41.0, 80.0, 41.33333333333333)","(21.0, 65.0, 28.25)","(5.5, 13.5, 11.625)","(19.0, 25.0, 18.0)","(3.7, 4.4, 3.962962962962963)","(4.4, 5.4, 5.28)","(61.0, 140.0, 123.0)","(10.0, 13.0, 12.0)","(5.5, 8.0, 7.68)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:15.673071,"(41.0, 80.0, 41.33333333333333)","(21.0, 65.0, 47.66666666666667)","(5.5, 13.5, 13.25)","(19.0, 25.0, 18.0)","(3.7, 4.0, 3.428571428571429)","(4.4, 5.4, 5.28)","(61.0, 140.0, 86.66666666666667)","(10.0, 13.0, 12.0)","(5.5, 8.0, 7.76)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:17.384508,"(41.0, 80.0, 41.33333333333333)","(21.0, 60.0, 52.8)","(5.5, 14.5, 13.25)","(19.0, 25.0, 18.0)","(3.7, 4.0, 3.8308823529411766)","(4.4, 5.4, 5.033333333333333)","(61.0, 140.0, 86.66666666666667)","(10.0, 13.0, 12.0)","(5.5, 8.0, 7.925000000000001)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:19.019822,"(41.0, 80.0, 41.33333333333333)","(21.0, 60.0, 52.8)","(5.5, 14.5, 13.25)","(19.0, 25.0, 19.3)","(3.7, 3.85, 3.6100000000000003)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 108.0)","(10.0, 13.0, 12.0)","(5.5, 8.8, 8.2)","(5.0, 8.2, 8.008)"
09-01-2023 13:42:20.610142,"(41.0, 80.0, 56.8)","(21.0, 55.0, 40.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 22.0)","(3.7, 3.85, 3.7681818181818185)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 112.5)","(10.0, 13.0, 12.25)","(5.5, 9.0, 8.525)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:22.212454,"(41.0, 80.0, 61.0)","(21.0, 50.0, 36.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.2625)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:23.734269,"(41.0, 80.0, 63.42857142857143)","(21.0, 48.0, 36.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:25.210834,"(41.0, 80.0, 56.8)","(21.0, 48.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
