,Allinga Blues,Rhonda Wine,Festival Dancer,Gable,Centennial,Paramount Rose
16-12-2022 11:05:15.115882,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:16.050760,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:16.899902,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:17.797718,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:18.732822,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:19.660900,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:20.590961,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:21.556601,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:22.556338,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:23.484332,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:24.405524,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:25.348473,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:26.287212,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:27.241696,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:28.151512,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:29.042818,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:30.049695,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:31.031741,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:31.931643,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:32.864395,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:33.807367,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:34.756172,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:35.707746,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:36.628002,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:37.606784,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:38.629883,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:39.601884,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:40.598566,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:41.541081,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:42.508211,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:43.436064,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:44.384469,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:45.211777,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
