,Scarlet Bling,Limousine Cheeky,Jimmymcchowe,Crimson Rock Nz,Magic Tulhurst,Lucky Zara,American Shuffle Nz,Shannonsideal,Lara Tiara
06-01-2023 16:54:17.287483,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 36.07142857142857)"
06-01-2023 16:54:18.956065,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:20.521018,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:22.381001,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:24.220185,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:25.884360,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:27.561578,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:29.361725,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:31.044030,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:32.680117,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:34.343017,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:36.047061,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:37.673156,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:39.202626,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:40.725393,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:42.188185,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:43.640707,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:45.087180,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:46.516631,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:48.034658,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:49.519868,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:50.968029,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:52.400840,"(3.3, 4.8, 3.6666666666666665)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:53.865637,"(3.3, 4.8, 3.2416666666666667)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
06-01-2023 16:54:55.383605,"(3.3, 4.8, 3.2416666666666667)","(3.7, 7.4, 5.0)","(71.0, 220.0, 175.71428571428572)","(3.1, 99999, 99990)","(31.0, 100.0, 52.0)","(41.0, 180.0, 138.28571428571428)","(7.0, 99999, 99990)","(8.0, 15.5, 11.833333333333334)","(14.0, 40.0, 26.25)"
