,Tomato Tears,Spring High Low,Howling Hoss,Zipping Loxley,Bassos Girl
04-01-2023 09:45:59.401463,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:00.176240,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:00.983288,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:01.773276,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:02.585054,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:03.395594,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:04.167716,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:04.964654,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:05.751110,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:06.537473,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:07.305198,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:08.098669,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:08.883095,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:09.680425,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:10.472563,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:11.284382,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:12.076193,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:12.848663,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
04-01-2023 09:46:13.623342,"(5.5, 12.5, 10.633333333333333)","(2.9, 5.1, 3.757674418604651)","(1.6, 2.24, 2.1300000000000003)","(26.0, 170.0, 98.0)","(10.0, 21.0, 16.714285714285715)"
