,Shakatie,Our Ruby Rose,Major Tralee,Malibu Dream,Betting Baron,Ark Nz,Tactfilly Miracle,Getaloadathisbro,Delightful Rainbow
05-01-2023 14:53:48.535150,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:49.944996,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:51.154275,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:52.304109,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:53.535007,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:54.839120,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:56.260166,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:57.550859,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:53:58.880440,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:00.211686,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:01.586012,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:02.831116,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:04.014042,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:05.349569,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:06.619346,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:07.811109,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 36.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:08.996756,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:10.114981,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:11.265494,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:12.445489,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:13.669548,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:14.867992,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:16.130546,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:17.360471,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:18.663141,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(101.0, 99999, 99990)","(5.5, 7.8, 7.25)","(11.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:19.908833,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:21.156823,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:22.361052,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:23.498860,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:24.607222,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:25.713044,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:26.866707,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:28.068213,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
05-01-2023 14:54:29.284012,"(3.5, 5.4, 4.845000000000001)","(14.0, 19.5, 15.75)","(2.9, 3.65, 3.2214285714285715)","(21.0, 42.0, 30.0)","(13.0, 23.0, 16.666666666666668)","(91.0, 99999, 99990)","(5.5, 7.8, 7.25)","(10.0, 17.5, 13.166666666666666)","(6.0, 8.8, 7.4)"
