,Fiftyshades Cresco,Outa Control,Cc Jones Nz,Trebek,Bezzaboma,Springfield Shadow,Rocking Wroxton,Lochster,Illawong Lord
10,"[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 26, 716789), 26.0, 60.0]"
11,"[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 27, 946004), 26.0, 60.0]"
12,"[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 29, 165417), 26.0, 60.0]"
13,"[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 30, 406824), 26.0, 60.0]"
14,"[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 31, 672780), 26.0, 60.0]"
15,"[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 32, 975327), 26.0, 60.0]"
16,"[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 34, 246004), 26.0, 60.0]"
17,"[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 35, 620726), 26.0, 60.0]"
18,"[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 36, 924341), 26.0, 60.0]"
19,"[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 38, 162396), 26.0, 60.0]"
