,Atomic Rose,Chaos Magic,La Danta,Boston Belle,Fort Pike,Inpending Breeze,Pepper Point
15-12-2022 10:55:34.467616,"(2.45, 4.9, 3.0999999999999996)","(2.8, 3.45, 3.016)","(10.0, 32.0, 26.333333333333336)","(7.5, 10.0, 9.133333333333333)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:35.507306,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 10.0, 9.133333333333333)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:36.604596,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 10.0, 9.133333333333333)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:37.680259,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 10.0, 8.5)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:38.738565,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 9.8, 8.386666666666667)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:39.785366,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 9.8, 8.386666666666667)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:40.826637,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 9.8, 8.386666666666667)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:41.830222,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 9.8, 9.137500000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:42.814853,"(2.45, 4.7, 3.275)","(2.8, 3.4, 3.016)","(10.0, 34.0, 26.333333333333336)","(7.5, 9.8, 6.828571428571429)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:43.793781,"(2.45, 4.6, 4.1499999999999995)","(2.8, 3.4, 3.016)","(10.0, 34.0, 22.5)","(7.5, 9.8, 6.828571428571429)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
