,Bull Shark,Ruling,U Rock It,Wizard Of Odds,Awesummer,Attuck,Luckytobeinamerica
05-01-2023 13:24:22.792496,"(2.9, 4.8, 4.7172413793103445)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:23.732929,"(2.9, 4.8, 4.7172413793103445)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:24.675908,"(2.9, 4.8, 4.7172413793103445)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:25.620865,"(2.9, 4.7, 4.5)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:26.641819,"(2.9, 4.7, 4.671428571428572)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:27.660837,"(2.9, 4.7, 4.671428571428572)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:28.716228,"(2.9, 4.7, 4.671428571428572)","(2.5, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:29.795785,"(2.9, 4.7, 4.671428571428572)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:30.838177,"(2.9, 4.7, 4.671428571428572)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:31.880733,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
