,Bourne Supremacy,Home Brew,Vendetta Reef,Bucket Of Oil,Dragon Inn,Pick Star
11-01-2023 10:07:01.159198,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:02.108313,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:03.030387,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:04.016823,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:04.944198,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:05.933201,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:06.941344,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:07.961161,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:08.948857,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:09.917244,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
