,Prosecute,Pinch A Banana,Amber Jack,Clover Energy,Tranquil Lexie,Skylahs Misfit,Dusty Boots,Clover Returns
15-12-2022 13:16:08.325890,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:09.433383,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:10.552356,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:11.661823,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:12.722571,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:13.789834,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:14.918054,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:15.979201,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:17.069788,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:18.184507,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:19.259126,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:20.371420,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:21.448006,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:22.509101,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:23.654055,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:24.709850,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:25.808258,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:26.907064,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:28.001004,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
