,Typhoon Nellie,All Inn Aussie,Arrogant Garth,Greek Temptation,Give Him Time,Blue Bird Beach,Be Good Beach,Sketchy Russ
12-01-2023 16:23:33.230777,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 35.833333333333336)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:34.392306,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 35.833333333333336)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:35.579863,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 35.833333333333336)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:36.798492,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 35.833333333333336)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:38.116281,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:39.424142,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:40.613192,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:41.695997,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:42.892117,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:44.057210,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:45.274917,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:46.632964,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
12-01-2023 16:23:47.916817,"(4.6, 7.0, 5.523076923076923)","(2.45, 4.0, 3.5933333333333333)","(9.0, 40.0, 36.8125)","(10.0, 21.0, 15.166666666666668)","(8.0, 14.5, 11.933333333333334)","(51.0, 370.0, 181.0)","(4.8, 7.4, 5.24)","(7.0, 11.5, 10.879310344827587)"
