,Gabbys Ideal,Motu Amethyst Nz,Judge Jujon,Voodoo Fella,Sharp Shooter,Rock Supreme,Jet Force,Miss Mia,Miss Fernandez
15-12-2022 15:35:07.645184,"(3.9, 5.5, 4.966666666666667)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.5562499999999995)"
15-12-2022 15:35:08.931969,"(3.9, 5.5, 4.966666666666667)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.5562499999999995)"
15-12-2022 15:35:10.254648,"(3.9, 5.5, 4.966666666666667)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.5562499999999995)"
15-12-2022 15:35:11.450828,"(3.9, 5.5, 4.966666666666667)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.5562499999999995)"
15-12-2022 15:35:12.747982,"(3.9, 5.5, 4.966666666666667)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:35:13.983488,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:35:15.123051,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:35:16.408022,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:35:17.557574,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:35:18.947611,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.800000000000001)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
