,Mine To Hold,Royal Crusader,Respect For All,Charitable Visit,Auts Revolution,Uncle Jerome,Raise A Speights,The Iron Bank
12-01-2023 11:30:23.611733,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:24.758766,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:25.930811,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:27.170831,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:28.343201,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:29.508275,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:30.684524,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:31.787073,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:32.883912,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:34.268054,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:35.715015,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:37.052993,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:38.346387,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:39.583940,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:40.874127,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:42.133543,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:43.357909,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:44.578240,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:45.741946,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:46.907698,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:48.076627,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:49.305594,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:50.457436,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:51.642820,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
